Item,2018,2019,2020,2021,2022
Sales/Revenue,36.36B,39.12B,37.42B,44.49B,46.79B
Sales Growth,-,7.59%,-4.35%,18.90%,5.17%
Cost of Goods Sold (COGS) incl. D&A,20.35B,21.7B,21.53B,24.59B,25.21B
COGS Growth,-,6.61%,-0.78%,14.22%,2.52%
COGS excluding D&A,19.6B,20.99B,20.81B,23.84B,24.49B
Depreciation & Amortization Expense,747M,705M,721M,744M,717M
Depreciation,747M,705M,721M,744M,717M
Amortization of Intangibles,-,-,-,-,-
Gross Income,16.01B,17.43B,15.89B,19.91B,21.58B
Gross Income Growth,-,8.83%,-8.79%,25.24%,8.44%
Gross Profit Margin,-,-,-,-,46.13%
SG&A Expense,11.51B,12.7B,13.12B,12.77B,14.81B
SGA Growth,-,10.34%,3.32%,-2.67%,15.91%
Research & Development,-,-,-,-,-
Other SG&A,11.51B,12.7B,13.12B,12.77B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,61M,(173M),(75M),461M,(38M)
EBIT after Unusual Expense,4.44B,4.9B,2.85B,6.67B,6.82B
Non Operating Income/Expense,(67M),(54M),124M,245M,32M
Non-Operating Interest Income,70M,82M,62M,34M,94M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,117M,124M,144M,289M,292M
Interest Expense Growth,-,5.98%,16.13%,100.69%,1.04%
Gross Interest Expense,117M,124M,144M,289M,292M
Interest Capitalized,-,-,-,-,-
Pretax Income,4.33B,4.8B,2.89B,6.66B,6.65B
Pretax Income Growth,-,11.01%,-39.87%,130.72%,-0.15%
Pretax Margin,-,-,-,-,14.21%
Income Tax,2.39B,772M,348M,934M,605M
Income Tax - Current Domestic,1.21B,130M,(28M),462M,329M
Income Tax - Current Foreign,533M,608M,756M,857M,926M
Income Tax - Deferred Domestic,620M,(42M),(278M),(405M),(538M)
Income Tax - Deferred Foreign,27M,76M,(102M),20M,(112M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.93B,4.03B,2.54B,5.73B,6.05B
Minority Interest Expense,-,-,-,-,-
Net Income,1.93B,4.03B,2.54B,5.73B,6.05B
Net Income Growth,-,108.43%,-36.98%,125.56%,5.57%
Net Margin Growth,-,-,-,-,12.92%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.93B,4.03B,2.54B,5.73B,6.05B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.93B,4.03B,2.54B,5.73B,6.05B
EPS (Basic),1.19,2.55,1.63,3.64,3.83
EPS (Basic) Growth,-,114.33%,-36.14%,123.53%,5.18%
Basic Shares Outstanding,1.62B,1.58B,1.56B,1.57B,1.58B
EPS (Diluted),1.17,2.49,1.6,3.56,3.75
EPS (Diluted) Growth,-,112.78%,-35.92%,123.08%,5.48%
Diluted Shares Outstanding,1.66B,1.62B,1.59B,1.61B,1.61B
EBITDA,5.25B,5.43B,3.49B,7.88B,7.5B
EBITDA Growth,-,3.47%,-35.70%,125.61%,-4.82%
EBITDA Margin,-,-,-,-,16.02%
