Item,2017,2018,2019,2020,2021
Sales/Revenue,13.76B,15.15B,15.6B,12.83B,11.22B
Sales Growth,-,10.15%,2.96%,-17.79%,-12.50%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,(3.57B),(3.81B),(4.5B),(4.17B),(5.21B)
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",925M,977M,1.01B,930M,1.16B
Commission & Fee Income,925M,977M,1.01B,930M,1.16B
Total Expense,10.43B,11.51B,9.99B,10.37B,5.26B
Total Interest Expense,543M,684M,725M,571M,466M
Depreciation & Amortization Expense,196M,240M,301M,327M,339M
Other Operating Expense,2.16B,2.22B,2.18B,2.07B,1.93B
Operating Income,3.32B,3.64B,5.61B,2.46B,5.97B
Operating Income Growth,-,9.63%,54.01%,-56.25%,143.14%
Non-Operating Income (Expense),-,-,-,-,-
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,-,-,-,87M,-
Pretax Income,3.32B,3.64B,4.89B,1.8B,5.5B
Pretax Income Growth,-,9.63%,34.11%,-63.23%,206.23%
Pretax Margin,-,-,-,-,49.03%
Income Taxes,1.39B,854M,1.14B,412M,1.28B
Income Tax - Current Domestic,992M,890M,1.12B,1.01B,1.06B
Income Tax - Current Foreign,12M,17M,1M,4M,5M
Income Tax - Deferred Domestic,387M,(62M),21M,(601M),220M
Income Tax - Deferred Foreign,(2M),9M,2M,(1M),(1M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.94B,2.79B,3.75B,1.39B,4.22B
Minority Interest Expense,-,-,-,-,-
Net Income,1.94B,2.79B,3.75B,1.39B,4.22B
Net Income Growth,-,44.19%,34.30%,-63.04%,204.77%
Net Margin Growth,-,-,-,-,37.61%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.94B,2.79B,3.75B,1.39B,4.22B
Preferred Dividends,-,-,-,42M,42M
Net Income Available to Common,1.94B,2.79B,3.75B,1.34B,4.18B
EPS (Basic),2.43,3.76,5.59,2.28,7.4
EPS (Basic) Growth,-,54.73%,48.69%,-59.22%,224.62%
Basic Shares Outstanding,795.6M,742.3M,670.2M,589M,564.6M
EPS (Diluted),2.42,3.74,5.56,2.27,7.34
EPS (Diluted) Growth,-,54.55%,48.76%,-59.14%,222.92%
Diluted Shares Outstanding,799.7M,746.9M,673.5M,590.8M,569.3M
