Item,2017,2018,2019,2020,2021
Sales/Revenue,17.16B,18.96B,20.74B,20.52B,22.39B
Sales Growth,-,10.45%,9.42%,-1.05%,9.10%
Premiums Earned,14.14B,15.87B,16.92B,17.29B,18B
Total Investment Income,1.6B,1.78B,1.95B,1.85B,2.31B
Realized Gains (Losses),180M,(115M),419M,(99M),488M
Other Operating Income,1.24B,1.42B,1.45B,1.49B,1.59B
"Losses, Claims & Reserves",14.74B,15.45B,16.05B,16.29B,17.51B
"Losses, Claims & Reserves Growth",-,4.81%,3.92%,1.45%,7.51%
"Losses, Benefits & Adjustments",10.17B,11.17B,11.47B,11.81B,12.73B
Loss Ratio,-,-,-,-,N/A
"Selling, General & Admin. Expenses & Other",1.39B,1.45B,1.69B,1.78B,1.75B
SGA Growth,-,4.76%,16.25%,5.33%,-1.52%
"Selling, General & Admin. Expenses",1.39B,1.45B,1.69B,1.78B,1.75B
"Other Selling, General & Admin. Expense",-,-,-,-,-
Underwriting & Commissions,-,-,-,-,-
Other Operating Expense,-,-,-,-,-
Operating Income Before Interest Expense,1.04B,2.06B,3B,2.46B,3.13B
Operating Income Growth,-,97.98%,45.84%,-18.00%,27.28%
"Interest Expense, Net of Interest Capitalized",316M,298M,259M,236M,234M
Interest Expense (excl. Interest Capitalized),316M,298M,259M,236M,234M
Interest Capitalized,-,-,-,-,-
Operating Income After Interest Expense,1.04B,2.06B,3B,2.46B,3.13B
Non-Operating Income (Expense),-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,-,6M,181M,104M,1M
Pretax Income,723M,1.75B,2.56B,2.12B,2.9B
Pretax Income Growth,-,142.46%,46.04%,-17.19%,36.60%
Income Tax,985M,268M,475M,383M,531M
Income Tax - Current Domestic,116M,(18M),8M,410M,486M
Income Tax - Current Foreign,1M,-,-,-,2M
Income Tax - Deferred Domestic,866M,286M,476M,(20M),49M
Income Tax - Deferred Foreign,2M,-,(9M),(7M),(6M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(262M),1.49B,2.09B,1.74B,2.37B
Minority Interest Expense,-,-,-,-,-
Net Income,(262M),1.49B,2.09B,1.74B,2.37B
Net Income Growth,-,666.79%,40.40%,-16.69%,36.15%
Net Margin Growth,-,-,-,-,10.56%
Extraordinaries & Discontinued Operations,(2.87B),322M,-,-,-
Extra Items & Gain/Loss Sale Of Assets,(3.26B),202M,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,388M,120M,-,-,-
Net Income After Extraordinaries,(3.13B),1.81B,2.09B,1.74B,2.37B
Preferred Dividends,-,6M,21M,21M,21M
Net Income Available to Common,126M,1.6B,2.06B,1.72B,2.34B
EPS (Basic),0.35,4.46,5.72,4.79,6.71
EPS (Basic) Growth,-,"1,187.96%",28.19%,-16.26%,40.20%
Basic Shares Outstanding,363.7M,358.4M,360.9M,358.3M,349.1M
EPS (Diluted),0.35,4.39,5.66,4.76,6.62
EPS (Diluted) Growth,-,"1,167.78%",28.80%,-15.87%,39.11%
Diluted Shares Outstanding,363.7M,364.1M,364.9M,360.6M,354.1M
