Item,2017,2018,2019,2020,2021
Sales/Revenue,111.02B,136.96B,161.4B,182.35B,257.49B
Sales Growth,-,23.36%,17.85%,12.98%,41.21%
Cost of Goods Sold (COGS) incl. D&A,45.58B,59.55B,71.9B,84.73B,110.94B
COGS Growth,-,30.64%,20.73%,17.85%,30.93%
COGS excluding D&A,38.67B,50.51B,60.12B,71.04B,98.5B
Depreciation & Amortization Expense,6.92B,9.04B,11.78B,13.7B,12.44B
Depreciation,6.1B,8.16B,10.86B,12.91B,11.56B
Amortization of Intangibles,812M,871M,925M,792M,886M
Gross Income,65.44B,77.41B,89.51B,97.62B,146.55B
Gross Income Growth,-,18.29%,15.63%,9.06%,50.12%
Gross Profit Margin,-,-,-,-,56.91%
SG&A Expense,36.39B,45.88B,54.03B,56.57B,67.98B
SGA Growth,-,26.07%,17.78%,4.70%,20.17%
Research & Development,16.63B,21.42B,26.02B,27.57B,31.56B
Other SG&A,19.77B,24.46B,28.02B,29B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,2.86B,900M,(1.2B),(5.16B),(10.4B)
EBIT after Unusual Expense,26.19B,30.63B,36.67B,46.21B,88.96B
Non Operating Income/Expense,(45M),2.64B,239M,(255M),284M
Non-Operating Interest Income,1.31B,1.88B,2.43B,1.87B,1.5B
Equity in Affiliates (Pretax),(156M),(120M),390M,401M,334M
Interest Expense,109M,114M,100M,135M,346M
Interest Expense Growth,-,4.59%,-12.28%,35.00%,156.30%
Gross Interest Expense,157M,206M,267M,353M,509M
Interest Capitalized,48M,92M,167M,218M,163M
Pretax Income,27.19B,34.91B,39.63B,48.08B,90.73B
Pretax Income Growth,-,28.39%,13.50%,21.34%,88.71%
Pretax Margin,-,-,-,-,35.24%
Income Tax,14.53B,4.18B,5.28B,7.81B,14.7B
Income Tax - Current Domestic,12.61B,2.15B,2.42B,4.79B,10.13B
Income Tax - Current Foreign,1.75B,1.25B,2.71B,1.69B,2.69B
Income Tax - Deferred Domestic,220M,907M,286M,1.55B,2.02B
Income Tax - Deferred Foreign,(43M),(134M),(141M),(215M),(135M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,12.66B,30.74B,34.34B,40.27B,76.03B
Minority Interest Expense,-,-,-,-,-
Net Income,12.66B,30.74B,34.34B,40.27B,76.03B
Net Income Growth,-,142.74%,11.74%,17.26%,88.81%
Net Margin Growth,-,-,-,-,29.53%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,12.66B,30.74B,34.34B,40.27B,76.03B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,12.66B,30.74B,34.34B,40.27B,76.03B
EPS (Basic),0.91,2.21,2.48,2.96,5.69
EPS (Basic) Growth,-,141.96%,12.14%,19.28%,92.54%
Basic Shares Outstanding,13.86B,13.9B,13.85B,13.62B,13.35B
EPS (Diluted),0.9,2.19,2.46,2.93,5.61
EPS (Diluted) Growth,-,142.85%,12.49%,19.23%,91.42%
Diluted Shares Outstanding,14.07B,14.07B,13.97B,13.74B,13.55B
EBITDA,35.97B,40.57B,47.25B,54.74B,91.01B
EBITDA Growth,-,12.79%,16.49%,15.85%,66.24%
EBITDA Margin,-,-,-,-,35.34%
