Item,2017,2018,2019,2020,2021
Sales/Revenue,93.98B,117.03B,108.32B,64.88B,114B
Sales Growth,-,24.53%,-7.45%,-40.10%,75.71%
Cost of Goods Sold (COGS) incl. D&A,89.21B,111.39B,103.51B,65.82B,110.76B
COGS Growth,-,24.86%,-7.07%,-36.41%,68.27%
COGS excluding D&A,87.22B,109.32B,101.26B,63.47B,108.36B
Depreciation & Amortization Expense,1.99B,2.07B,2.26B,2.35B,2.41B
Depreciation,1.34B,1.4B,1.5B,1.6B,1.71B
Amortization of Intangibles,650M,668M,759M,748M,695M
Gross Income,4.77B,5.64B,4.81B,(946M),3.23B
Gross Income Growth,-,18.30%,-14.83%,-119.68%,441.54%
Gross Profit Margin,-,-,-,-,2.83%
SG&A Expense,829M,925M,868M,756M,865M
SGA Growth,-,11.58%,-6.16%,-12.90%,14.42%
Research & Development,-,-,-,-,-
Other SG&A,829M,925M,868M,756M,-
Other Operating Expense,61M,45M,21M,35M,87M
Unusual Expense,318M,139M,31M,(111M),59M
EBIT after Unusual Expense,(318M),4.54B,3.89B,(1.63B),2.22B
Non Operating Income/Expense,112M,167M,53M,179M,(74M)
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,468M,470M,454M,563M,603M
Interest Expense Growth,-,0.43%,-3.40%,24.01%,7.10%
Gross Interest Expense,539M,557M,544M,638M,651M
Interest Capitalized,71M,87M,90M,75M,48M
Pretax Income,3.21B,4.23B,3.49B,(2.01B),1.54B
Pretax Income Growth,-,31.96%,-17.63%,-157.66%,176.77%
Pretax Margin,-,-,-,-,1.35%
Income Tax,(949M),879M,702M,(903M),255M
Income Tax - Current Domestic,1.34B,469M,182M,(1.02B),69M
Income Tax - Current Foreign,255M,207M,286M,(37M),312M
Income Tax - Deferred Domestic,(2.5B),164M,274M,75M,(19M)
Income Tax - Deferred Foreign,(44M),39M,(40M),83M,(107M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(14M),(9M),(7M),(5M),(6M)
Consolidated Net Income,4.14B,3.34B,2.78B,(1.11B),1.28B
Minority Interest Expense,91M,231M,362M,314M,358M
Net Income,4.05B,3.11B,2.42B,(1.43B),924M
Net Income Growth,-,-23.15%,-22.42%,-159.05%,164.80%
Net Margin Growth,-,-,-,-,0.81%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,4.05B,3.11B,2.42B,(1.43B),924M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,4.05B,3.11B,2.42B,(1.43B),924M
EPS (Basic),9.17,7.31,5.85,(3.5),2.27
EPS (Basic) Growth,-,-20.31%,-19.98%,-159.92%,164.80%
Basic Shares Outstanding,442M,426M,413M,407M,407M
EPS (Diluted),9.16,7.29,5.85,(3.5),2.27
EPS (Diluted) Growth,-,-20.41%,-19.79%,-159.92%,164.80%
Diluted Shares Outstanding,444M,428M,413M,407M,407M
EBITDA,5.87B,6.74B,6.17B,614M,4.68B
EBITDA Growth,-,14.93%,-8.45%,-90.05%,662.87%
EBITDA Margin,-,-,-,-,4.11%
