Item,2017,2018,2019,2020,2021
Sales/Revenue,3.95B,4.4B,4.26B,5.63B,5.89B
Sales Growth,-,11.32%,-3.03%,32.03%,4.60%
Total Investment Income,-,118M,-,-,-
Sundry Revenue/Income,441M,326M,348M,357M,490M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",3.51B,3.95B,3.91B,5.27B,5.4B
Commission & Fee Income,3.51B,3.95B,3.91B,5.27B,5.4B
Total Expense,2.91B,3.23B,3.18B,4.29B,4.29B
Total Interest Expense,143M,150M,124M,101M,125M
Depreciation & Amortization Expense,188M,210M,190M,202M,278M
Other Operating Expense,764M,807M,804M,893M,1.05B
Operating Income,1.04B,1.17B,1.09B,1.34B,1.59B
Operating Income Growth,-,12.75%,-6.94%,23.30%,18.89%
Non-Operating Income (Expense),24M,68M,126M,79M,218M
Non-Operating Interest Income,9M,17M,15M,4M,1M
Miscellaneous Non Operating Expense,-,33M,27M,5M,165M
Equity in Affiliates (Pretax),15M,18M,84M,70M,52M
Unusual Expense,44M,21M,69M,117M,151M
Pretax Income,872M,1.06B,1.02B,1.21B,1.53B
Pretax Income Growth,-,22.02%,-4.23%,18.94%,26.57%
Pretax Margin,-,-,-,-,26.06%
Income Taxes,143M,606M,245M,279M,347M
Income Tax - Current Domestic,68M,159M,160M,164M,189M
Income Tax - Current Foreign,68M,146M,50M,74M,64M
Income Tax - Deferred Domestic,8M,301M,34M,43M,104M
Income Tax - Deferred Foreign,(1M),-,1M,(2M),(10M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,729M,458M,774M,933M,1.19B
Minority Interest Expense,-,-,-,-,-
Net Income,729M,458M,774M,933M,1.19B
Net Income Growth,-,-37.17%,69.00%,20.54%,27.22%
Net Margin Growth,-,-,-,-,20.17%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,729M,458M,774M,933M,1.19B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,729M,458M,774M,933M,1.19B
EPS (Basic),4.38,2.77,4.69,5.67,7.15
EPS (Basic) Growth,-,-36.79%,69.42%,20.92%,26.08%
Basic Shares Outstanding,166.36M,165.35M,164.93M,164.42M,165.9M
EPS (Diluted),4.3,2.73,4.64,5.59,7.05
EPS (Diluted) Growth,-,-36.46%,69.73%,20.59%,26.12%
Diluted Shares Outstanding,169.59M,167.69M,166.97M,166.9M,168.36M
