Item,2017,2018,2019,2020,2021
Sales/Revenue,12.03B,12.33B,12.55B,12.24B,13.67B
Sales Growth,-,2.54%,1.75%,-2.47%,11.72%
Cost of Goods Sold (COGS) incl. D&A,7.08B,7.51B,7.47B,6.99B,8.04B
COGS Growth,-,6.01%,-0.57%,-6.41%,15.03%
COGS excluding D&A,5.74B,6.07B,5.78B,5.07B,6.01B
Depreciation & Amortization Expense,1.34B,1.44B,1.68B,1.92B,2.03B
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,4.94B,4.82B,5.08B,5.25B,5.64B
Gross Income Growth,-,-2.45%,5.37%,3.33%,7.31%
Gross Profit Margin,-,-,-,-,41.21%
SG&A Expense,24M,24M,24M,24M,25M
SGA Growth,-,0.00%,0.00%,0.00%,4.17%
Research & Development,24M,24M,24M,24M,25M
Other SG&A,-,-,-,-,-
Other Operating Expense,2.16B,2.27B,2.41B,2.58B,2.81B
Unusual Expense,-,(133M),12M,63M,(78M)
EBIT after Unusual Expense,-,2.67B,2.64B,2.59B,2.88B
Non Operating Income/Expense,(150M),(183M),(45M),(401M),(538M)
Non-Operating Interest Income,111M,119M,96M,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,729M,819M,955M,954M,957M
Interest Expense Growth,-,12.35%,16.61%,-0.10%,0.31%
Gross Interest Expense,737M,829M,968M,968M,968M
Interest Capitalized,8M,10M,13M,14M,11M
Pretax Income,2B,1.78B,1.74B,1.23B,1.38B
Pretax Income Growth,-,-10.72%,-2.64%,-28.92%,12.07%
Pretax Margin,-,-,-,-,10.11%
Income Tax,472M,401M,296M,90M,190M
Income Tax - Current Domestic,(13M),(7M),(12M),57M,93M
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,494M,417M,315M,40M,104M
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,9M,9M,7M,7M,7M
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.53B,1.38B,1.44B,1.14B,1.19B
Minority Interest Expense,-,-,97M,43M,(153M)
Net Income,1.53B,1.38B,1.34B,1.1B,1.35B
Net Income Growth,-,-9.38%,-2.82%,-18.02%,22.25%
Net Margin Growth,-,-,-,-,9.84%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.53B,1.38B,1.34B,1.1B,1.35B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.53B,1.38B,1.34B,1.1B,1.35B
EPS (Basic),4.97,4.43,4.09,3.29,3.86
EPS (Basic) Growth,-,-10.71%,-7.79%,-19.56%,17.48%
Basic Shares Outstanding,307.1M,311.7M,328.5M,334.8M,348.4M
EPS (Diluted),4.94,4.42,4.08,3.28,3.85
EPS (Diluted) Growth,-,-10.56%,-7.72%,-19.53%,17.46%
Diluted Shares Outstanding,308.8M,312.9M,329.5M,335.7M,349.4M
EBITDA,4.11B,3.97B,4.34B,4.57B,4.83B
EBITDA Growth,-,-3.29%,9.19%,5.44%,5.69%
EBITDA Margin,-,-,-,-,35.34%
