Item,2017,2018,2019,2020,2021
Sales/Revenue,14.81B,16.13B,16.78B,16.65B,18.51B
Sales Growth,-,8.88%,4.08%,-0.78%,11.14%
Cost of Goods Sold (COGS) incl. D&A,9.67B,10.36B,11.14B,11.23B,12.23B
COGS Growth,-,7.14%,7.58%,0.74%,8.97%
COGS excluding D&A,9.23B,9.86B,10.62B,10.67B,11.66B
Depreciation & Amortization Expense,443M,498M,526M,559M,574M
Depreciation,313M,347M,364M,407M,392M
Amortization of Intangibles,130M,151M,162M,152M,182M
Gross Income,5.14B,5.77B,5.64B,5.43B,6.27B
Gross Income Growth,-,12.16%,-2.20%,-3.78%,15.63%
Gross Profit Margin,-,-,-,-,33.90%
SG&A Expense,2.58B,3.02B,2.86B,3.1B,3.51B
SGA Growth,-,16.98%,-5.34%,8.54%,13.26%
Research & Development,-,-,-,-,-
Other SG&A,2.58B,3.02B,2.86B,3.1B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,233M,(12M),326M,278M,(13M)
EBIT after Unusual Expense,(233M),12M,2.46B,2.05B,2.78B
Non Operating Income/Expense,216M,(114M),(64M),(47M),30M
Non-Operating Interest Income,133M,177M,176M,119M,30M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,23M,27M,26M,24M,9M
Interest Expense Growth,-,17.39%,-3.70%,-7.69%,-62.50%
Gross Interest Expense,23M,27M,26M,24M,9M
Interest Capitalized,-,-,-,-,-
Pretax Income,2.66B,2.8B,2.54B,2.1B,2.83B
Pretax Income Growth,-,5.35%,-9.08%,-17.58%,34.88%
Pretax Margin,-,-,-,-,15.28%
Income Tax,1.15B,698M,643M,704M,693M
Income Tax - Current Domestic,767M,241M,549M,137M,210M
Income Tax - Current Foreign,262M,449M,400M,383M,456M
Income Tax - Deferred Domestic,102M,1M,(320M),(77M),(50M)
Income Tax - Deferred Foreign,22M,7M,14M,261M,77M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,2M,2M,(58M),-,3M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.5B,2.1B,1.84B,1.39B,2.14B
Minority Interest Expense,-,-,-,-,-
Net Income,1.5B,2.1B,1.84B,1.39B,2.14B
Net Income Growth,-,39.69%,-12.33%,-24.43%,53.52%
Net Margin Growth,-,-,-,-,11.55%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.5B,2.1B,1.84B,1.39B,2.14B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.5B,2.1B,1.84B,1.39B,2.14B
EPS (Basic),2.54,3.61,3.3,2.58,4.06
EPS (Basic) Growth,-,42.33%,-8.72%,-21.77%,57.30%
Basic Shares Outstanding,593M,582M,559M,540M,527M
EPS (Diluted),2.53,3.6,3.29,2.57,4.05
EPS (Diluted) Growth,-,42.33%,-8.57%,-21.78%,57.30%
Diluted Shares Outstanding,595M,584M,560M,541M,528M
EBITDA,3.01B,3.25B,3.31B,2.89B,3.34B
EBITDA Growth,-,8.05%,1.91%,-12.81%,15.67%
EBITDA Margin,-,-,-,-,18.03%
