Item,2018,2019,2020,2021,5-year trend
Sales/Revenue,20.44B,18.92B,17.6B,19.65B, 
Sales Growth,-,-7.40%,-6.98%,11.62%, 
Cost of Goods Sold (COGS) incl. D&A,18.95B,17.11B,16.88B,19.72B, 
COGS Growth,-,-9.73%,-1.36%,16.86%, 
COGS excluding D&A,15.54B,14.05B,13.24B,15.18B, 
Depreciation & Amortization Expense,3.42B,3.06B,3.64B,4.54B, 
Depreciation,3.42B,3.06B,3.64B,4.54B, 
Amortization of Intangibles,-,-,-,-, 
Gross Income,1.48B,1.82B,727M,(72M), 
Gross Income Growth,-,22.39%,-59.94%,-109.90%, 
Gross Profit Margin,-,-,-,-0.37%, 
SG&A Expense,-,-,-,-, 
SGA Growth,-,-,-,-, 
Research & Development,-,-,-,-, 
Other SG&A,-,-,-,-, 
Other Operating Expense,556M,519M,482M,475M, 
Unusual Expense,-,(411M),(577M),(44M), 
EBIT after Unusual Expense,-,1.71B,822M,(503M), 
Non Operating Income/Expense,(130M),529M,281M,854M, 
Non-Operating Interest Income,-,110M,90M,98M, 
Equity in Affiliates (Pretax),-,-,-,-, 
Interest Expense,432M,429M,357M,297M, 
Interest Expense Growth,-,-0.69%,-16.78%,-16.81%, 
Gross Interest Expense,432M,429M,357M,297M, 
Interest Capitalized,-,-,-,-, 
Pretax Income,365M,1.92B,836M,152M, 
Pretax Income Growth,-,425.21%,-56.39%,-81.82%, 
Pretax Margin,-,-,-,0.77%, 
Income Tax,(108M),516M,249M,225M, 
Income Tax - Current Domestic,-,-,-,-, 
Income Tax - Current Foreign,-,-,-,-, 
Income Tax - Deferred Domestic,-,-,-,-, 
Income Tax - Deferred Foreign,-,-,-,-, 
Income Tax Credits,-,-,-,-, 
Equity in Affiliates,(30M),(184M),(8M),(10M), 
Other After Tax Income (Expense),-,-,-,-, 
Consolidated Net Income,443M,1.22B,579M,(83M), 
Minority Interest Expense,73M,92M,(10M),122M, 
Net Income,370M,1.13B,589M,(205M), 
Net Income Growth,-,204.05%,-47.64%,-134.80%, 
Net Margin Growth,-,-,-,-1.04%, 
Extraordinaries & Discontinued Operations,-,-,-,-, 
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-, 
Cumulative Effect - Accounting Chg,-,-,-,-, 
Discontinued Operations,-,-,-,-, 
Net Income After Extraordinaries,370M,1.13B,589M,(205M), 
Preferred Dividends,-,-,-,-, 
Net Income Available to Common,370M,1.13B,589M,(205M), 
EPS (Basic),1.13,3.44,1.8,(0.63), 
EPS (Basic) Growth,-,204.04%,-47.64%,-134.81%, 
Basic Shares Outstanding,326.66M,326.66M,326.66M,326.66M, 
EPS (Diluted),1.13,3.44,1.8,(0.63), 
EPS (Diluted) Growth,-,204.04%,-47.64%,-134.81%, 
Diluted Shares Outstanding,326.66M,326.66M,326.66M,326.66M, 
EBITDA,4.34B,4.36B,3.88B,3.99B, 
EBITDA Growth,-,0.39%,-10.97%,2.89%, 
EBITDA Margin,-,-,-,20.32%, 
