Item,2017,2018,2019,2020,2021
Sales/Revenue,19.88B,18.89B,16.83B,19.3B,27.77B
Sales Growth,-,-4.99%,-10.91%,14.65%,43.93%
Premiums Earned,18.85B,17.61B,16.21B,18.3B,26.86B
Total Investment Income,-,-,-,53M,42M
Realized Gains (Losses),-,-,13M,6M,10M
Other Operating Income,1.03B,1.28B,608M,937M,864M
"Losses, Claims & Reserves",17.07B,15.14B,13.91B,15.82B,23.7B
"Losses, Claims & Reserves Growth",-,-11.34%,-8.14%,13.77%,49.84%
"Losses, Benefits & Adjustments",17.07B,15.14B,13.91B,15.82B,23.7B
Loss Ratio,-,-,-,-,N/A
"Selling, General & Admin. Expenses & Other",2.66B,2.56B,1.87B,2.53B,3.05B
SGA Growth,-,-3.76%,-26.83%,34.74%,20.67%
"Selling, General & Admin. Expenses",1.73B,1.78B,1.39B,1.85B,2.2B
"Other Selling, General & Admin. Expense",-,-,-,-,-
Underwriting & Commissions,-,-,-,-,34M
Other Operating Expense,930M,781M,489M,680M,848M
Operating Income Before Interest Expense,149M,1.19B,1.05B,950M,1.02B
Operating Income Growth,-,700.00%,-11.91%,-9.52%,7.37%
"Interest Expense, Net of Interest Capitalized",118M,115M,87M,102M,120M
Interest Expense (excl. Interest Capitalized),118M,115M,87M,102M,120M
Interest Capitalized,-,-,-,-,-
Operating Income After Interest Expense,149M,1.19B,1.05B,950M,1.02B
Non-Operating Income (Expense),61M,(32M),15M,(15M),(25M)
Miscellaneous Non Operating Expense,61M,(32M),15M,(15M),(25M)
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,704M,46M,6M,(128M),-
Pretax Income,(612M),999M,972M,961M,875M
Pretax Income Growth,-,263.24%,-2.70%,-1.13%,-8.95%
Income Tax,(100M),292M,235M,288M,216M
Income Tax - Current Domestic,(6M),290M,216M,307M,240M
Income Tax - Current Foreign,-,8M,9M,-,-
Income Tax - Deferred Domestic,(94M),(6M),11M,(20M),(24M)
Income Tax - Deferred Foreign,-,-,(1M),1M,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(512M),707M,737M,673M,659M
Minority Interest Expense,-,-,-,-,-
Net Income,(512M),707M,737M,673M,659M
Net Income Growth,-,238.09%,4.24%,-8.68%,-2.08%
Net Margin Growth,-,-,-,-,2.37%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,(512M),707M,737M,673M,659M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(512M),707M,737M,673M,659M
EPS (Basic),(9.14),11.59,11.85,11.41,11.4
EPS (Basic) Growth,-,226.77%,2.23%,-3.73%,-0.05%
Basic Shares Outstanding,56M,61M,62.2M,59M,57.8M
EPS (Diluted),(9.14),10.55,11.48,11.24,11.25
EPS (Diluted) Growth,-,215.41%,8.79%,-2.13%,0.09%
Diluted Shares Outstanding,56M,67M,64.2M,59.9M,58.6M
