Item,2017,2018,2019,2020,2021
Interest Income,1.47B,1.97B,2.31B,2.24B,3.29B
Interest Income Growth,-,34.45%,17.23%,-2.94%,46.72%
Interest and Fees on Loans,1.03B,1.36B,1.6B,1.52B,1.97B
Interest Income on Fed. Funds,-,-,-,-,-
Interest Income on Fed. Repos,-,-,-,-,-
Interest on Bank Deposits,-,-,-,-,-
Other Interest or Dividend Income,439.35M,611.43M,710.24M,721.59M,1.32B
Total Internest Expense,44.77M,75.92M,212.81M,85.33M,110M
Total Internest Expense Growth,-,69.58%,180.30%,-59.90%,28.92%
Interest Expense on Bank Deposits,8.68M,29.31M,177.67M,60.22M,62M
Other Interest Expense,36.1M,46.62M,35.14M,25.11M,-
Interest Expense on Debt,36.1M,46.62M,35.14M,25.11M,48M
Interest Capitalized,-,-,-,-,-
Other Borrowed Funds,-,-,-,-,-
Net Interest Income,1.42B,1.89B,2.1B,2.16B,3.18B
Net Interest Income Growth,-,33.34%,10.70%,2.85%,47.43%
Loan Loss Provision,92.3M,87.87M,106.42M,219.51M,123M
Loan Loss Provision Growth,-,-4.80%,21.11%,106.28%,-43.97%
Net Interest Income after Provision,1.33B,1.81B,1.99B,1.94B,3.06B
Net Interest Inc After Loan Loss Prov Growth,-,36.00%,10.19%,-2.68%,57.79%
Net Interest Margin,-,-,-,-,2.02%
Non-Interest Income,546.61M,712.88M,1.2B,1.73B,2.62B
Securities Gain,65.9M,93.39M,135.07M,420.75M,761M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",404.04M,538.91M,925.88M,1.12B,1.36B
Commission & Fee Income,365.99M,492.01M,864.7M,1.04B,1.17B
Other Operating Income,76.67M,80.58M,140.81M,182M,503M
Non-Interest Expense,998.74M,1.15B,1.57B,1.92B,2.82B
Labor & Related Expense,606.4M,726.98M,989.73M,1.32B,2.02B
Equipment Expense,82.15M,94.57M,128.54M,134.84M,125M
Other Operating Expense,284.1M,328.54M,445.48M,488.57M,665M
Operating Income,875.94M,1.37B,1.62B,1.74B,2.85B
Operating Income Growth,-,56.20%,18.39%,7.54%,63.79%
Operating Income Margin,-,-,-,-,48.28%
Non-Operating Income (Expense),-,-,-,-,-
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,1.3M,5.3M,9.36M,-,129M
Pretax Income,874.64M,1.36B,1.61B,1.74B,2.72B
Pretax Income Growth,-,55.82%,18.16%,8.16%,56.38%
Pretax Margin,-,-,-,-,46.10%
Income Taxes,355.46M,351.56M,425.69M,447.59M,651M
Income Tax - Current - Domestic,330.28M,372.62M,428.76M,440.68M,659M
Income Tax - Current - Foreign,-,-,-,-,-
Income Tax - Deferred - Domestic,25.19M,(21.06M),(3.07M),6.91M,(8M)
Income Tax - Deferred - Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,519.18M,1.01B,1.18B,1.29B,2.07B
Minority Interest Expense,28.67M,37.51M,47.86M,85.93M,240M
Net Income,490.51M,973.84M,1.14B,1.21B,1.83B
Net Income Growth,-,98.54%,16.74%,6.29%,51.69%
Net Income Margin,-,-,-,-,31.02%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,-,-,-,-
Preferred Dividends,-,-,-,17.15M,63M
Net Income Available to Common,490.51M,973.84M,1.14B,1.19B,1.77B
EPS (Basic),9.33,18.35,21.9,23.05,31.74
EPS (Basic) Grwoth,-,96.71%,19.35%,5.25%,37.72%
Basic Shares Outstanding,52.59M,53.08M,51.92M,51.69M,55.76M
EPS (Diluted),9.2,18.11,21.73,22.87,31.25
EPS (Diluted) Growth,-,96.82%,20.00%,5.24%,36.64%
Diluted Shares Outstanding,53.31M,53.77M,52.31M,52.08M,56.64M
