Item,2017,2018,2019,2020,2021
Sales/Revenue,894.29M,1.04B,1.08B,1.08B,1.1B
Sales Growth,-,16.73%,3.30%,0.62%,1.74%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,42.94M,29.64M,29.64M,26.5M,40.34M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Total Expense,653.59M,662.56M,704.57M,812.36M,653.35M
Total Interest Expense,123.34M,144.34M,149.06M,167.07M,149.94M
Depreciation & Amortization Expense,245.92M,283.04M,314.03M,297.6M,269.71M
Other Operating Expense,108.64M,23.37M,18.35M,23.22M,19.97M
Operating Income,240.7M,381.31M,373.71M,272.56M,450.48M
Operating Income Growth,-,58.42%,-1.99%,-27.07%,65.28%
Non-Operating Income (Expense),36.9M,66.11M,84.77M,116.8M,150.13M
Non-Operating Interest Income,1.81M,1.23M,1.07M,1.6M,624K
Miscellaneous Non Operating Expense,(8.25M),21.91M,22.74M,81.03M,102.42M
Equity in Affiliates (Pretax),43.34M,42.97M,60.96M,34.17M,47.09M
Unusual Expense,12.45M,49.61M,66.16M,174.97M,84.39M
Pretax Income,141.81M,253.47M,243.26M,47.32M,366.29M
Pretax Income Growth,-,78.74%,-4.03%,-80.55%,674.12%
Pretax Margin,-,-,-,-,33.18%
Income Taxes,9.74M,-,-,-,-
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,159.51M,253.47M,243.26M,47.32M,366.29M
Minority Interest Expense,2.9M,3.2M,3.83M,2.43M,4.88M
Net Income,156.6M,250.27M,239.43M,44.89M,361.41M
Net Income Growth,-,59.81%,-4.33%,-81.25%,705.12%
Net Margin Growth,-,-,-,-,32.74%
Extraordinaries & Discontinued Operations,27.43M,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,27.43M,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,184.04M,250.27M,239.43M,44.89M,361.41M
Preferred Dividends,16.13M,-,-,-,-
Net Income Available to Common,113.04M,250.27M,239.43M,44.89M,361.41M
EPS (Basic),0.83,1.47,1.43,0.27,2.12
EPS (Basic) Growth,-,76.72%,-2.63%,-81.44%,700.53%
Basic Shares Outstanding,159.54M,169.72M,167.53M,169.23M,170.24M
EPS (Diluted),0.83,1.46,1.43,0.26,2.12
EPS (Diluted) Growth,-,76.80%,-2.56%,-81.44%,699.28%
Diluted Shares Outstanding,159.96M,170.1M,167.77M,169.46M,170.69M
