Item,2018,2019,2020,2021,2022
Sales/Revenue,6.12B,6.21B,6.72B,7.34B,7.11B
Sales Growth,-,1.47%,8.16%,9.22%,-3.19%
Cost of Goods Sold (COGS) incl. D&A,3.46B,3.5B,3.67B,4.16B,4.62B
COGS Growth,-,1.24%,4.68%,13.44%,10.96%
COGS excluding D&A,3.29B,3.32B,3.49B,3.95B,4.39B
Depreciation & Amortization Expense,167M,182M,179M,210M,224M
Depreciation,156M,165M,166M,179M,193M
Amortization of Intangibles,11M,17M,13M,31M,31M
Gross Income,2.66B,2.71B,3.05B,3.18B,2.49B
Gross Income Growth,-,1.76%,12.65%,4.16%,-21.69%
Gross Profit Margin,-,-,-,-,35.05%
SG&A Expense,1.54B,1.6B,1.79B,1.94B,1.8B
SGA Growth,-,4.22%,11.53%,8.61%,-7.62%
Research & Development,132M,136M,145M,149M,132M
Other SG&A,1.41B,1.47B,1.64B,1.79B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,1M,-,(13M),258M,(14M)
EBIT after Unusual Expense,1.12B,-,1.28B,980M,710M
Non Operating Income/Expense,(17M),(10M),(22M),3M,(17M)
Non-Operating Interest Income,6M,3M,2M,5M,5M
Equity in Affiliates (Pretax),12M,15M,20M,5M,6M
Interest Expense,79M,91M,93M,93M,97M
Interest Expense Growth,-,15.19%,2.20%,0.00%,4.30%
Gross Interest Expense,79M,91M,93M,93M,97M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.05B,1.02B,1.19B,900M,607M
Pretax Income Growth,-,-2.85%,15.72%,-24.05%,-32.56%
Pretax Margin,-,-,-,-,8.54%
Income Tax,231M,204M,246M,181M,136M
Income Tax - Current Domestic,211M,190M,203M,172M,88M
Income Tax - Current Foreign,43M,34M,45M,41M,43M
Income Tax - Deferred Domestic,(21M),(23M),8M,(35M),4M
Income Tax - Deferred Foreign,(2M),3M,(10M),3M,1M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,823M,820M,939M,719M,471M
Minority Interest Expense,-,-,-,9M,9M
Net Income,823M,820M,939M,710M,462M
Net Income Growth,-,-0.36%,14.51%,-24.39%,-34.93%
Net Margin Growth,-,-,-,-,6.50%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,823M,820M,939M,710M,462M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,823M,820M,939M,710M,462M
EPS (Basic),6.37,6.42,7.46,5.65,3.75
EPS (Basic) Growth,-,0.85%,16.25%,-24.23%,-33.63%
Basic Shares Outstanding,129.29M,127.73M,125.83M,125.57M,123.11M
EPS (Diluted),6.25,6.32,7.35,5.58,3.73
EPS (Diluted) Growth,-,1.01%,16.41%,-24.17%,-33.15%
Diluted Shares Outstanding,131.58M,129.79M,127.67M,127.3M,123.91M
EBITDA,1.29B,1.29B,1.44B,1.45B,920M
EBITDA Growth,-,-0.23%,12.02%,0.28%,-36.46%
EBITDA Margin,-,-,-,-,12.94%
