Item,2017,2018,2019,2020,2021
Sales/Revenue,33.37B,36.09B,33.67B,33.47B,39.27B
Sales Growth,-,8.15%,-6.71%,-0.59%,17.31%
Cost of Goods Sold (COGS) incl. D&A,27.1B,29.53B,27.75B,27.51B,30.93B
COGS Growth,-,8.94%,-6.00%,-0.88%,12.41%
COGS excluding D&A,21.68B,24.15B,22.2B,21.94B,25.31B
Depreciation & Amortization Expense,5.43B,5.38B,5.55B,5.57B,5.62B
Depreciation,4.86B,4.75B,4.94B,4.89B,4.94B
Amortization of Intangibles,570M,627M,608M,680M,683M
Gross Income,6.27B,6.57B,5.92B,5.96B,8.34B
Gross Income Growth,-,4.77%,-9.89%,0.74%,39.90%
Gross Profit Margin,-,-,-,-,21.24%
SG&A Expense,-,-,-,-,-
SGA Growth,-,-,-,-,-
Research & Development,-,-,-,-,-
Other SG&A,-,-,-,-,-
Other Operating Expense,1.73B,1.78B,1.73B,1.71B,1.77B
Unusual Expense,(610M),2.05B,(1.39B),696M,3.07B
EBIT after Unusual Expense,610M,2.74B,5.58B,3.55B,3.51B
Non Operating Income/Expense,320M,1.01B,25M,415M,270M
Non-Operating Interest Income,11M,48M,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,1.57B,1.56B,1.62B,1.64B,1.57B
Interest Expense Growth,-,-0.83%,3.66%,1.18%,-3.91%
Gross Interest Expense,1.57B,1.59B,1.64B,1.66B,1.59B
Interest Capitalized,-,31M,24M,22M,16M
Pretax Income,3.78B,2.23B,3.99B,2.33B,2.21B
Pretax Income Growth,-,-40.98%,78.54%,-41.46%,-5.36%
Pretax Margin,-,-,-,-,5.62%
Income Tax,(126M),120M,774M,373M,370M
Income Tax - Current Domestic,208M,225M,90M,203M,354M
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,(309M),(81M),756M,198M,34M
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,25M,24M,72M,28M,18M
Equity in Affiliates,(32M),(28M),(183M),(6M),(9M)
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,3.88B,2.08B,3.03B,1.95B,1.83B
Minority Interest Expense,90M,74M,92M,(9M),123M
Net Income,3.79B,2.01B,2.94B,1.96B,1.71B
Net Income Growth,-,-46.91%,46.07%,-33.14%,-13.09%
Net Margin Growth,-,-,-,-,4.34%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,3.79B,2.01B,2.94B,1.96B,1.71B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,3.79B,2.01B,2.94B,1.96B,1.71B
EPS (Basic),4,2.08,3.02,2.01,1.74
EPS (Basic) Growth,-,-48.01%,45.17%,-33.35%,-13.36%
Basic Shares Outstanding,947M,967M,973M,976M,979M
EPS (Diluted),3.99,2.07,3.01,2.01,1.74
EPS (Diluted) Growth,-,-48.01%,45.32%,-33.35%,-13.36%
Diluted Shares Outstanding,949M,969M,974M,977M,980M
EBITDA,9.84B,10.16B,9.74B,9.82B,12.2B
EBITDA Growth,-,3.26%,-4.16%,0.85%,24.18%
EBITDA Margin,-,-,-,-,31.06%
