Item,2017,2018,2019,2020,2021
Sales/Revenue,9.8B,10.53B,10.17B,10.17B,14.84B
Sales Growth,-,7.51%,-3.41%,-0.08%,45.96%
Cost of Goods Sold (COGS) incl. D&A,7.68B,8.3B,8.07B,8.26B,11.98B
COGS Growth,-,8.00%,-2.78%,2.33%,45.09%
COGS excluding D&A,7.28B,7.87B,7.63B,7.73B,11.21B
Depreciation & Amortization Expense,407.8M,431.3M,439M,530M,772M
Depreciation,367.8M,391.2M,400M,479M,684M
Amortization of Intangibles,40M,40.1M,39M,51M,88M
Gross Income,2.11B,2.23B,2.11B,1.91B,2.86B
Gross Income Growth,-,5.74%,-5.73%,-9.31%,49.71%
Gross Profit Margin,-,-,-,-,19.26%
SG&A Expense,899.1M,945.4M,873M,952M,1.47B
SGA Growth,-,5.15%,-7.66%,9.05%,54.62%
Research & Development,407.5M,440.1M,413M,476M,707M
Other SG&A,491.6M,505.3M,460M,476M,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,143.5M,112M,82M,(58M),551M
EBIT after Unusual Expense,(143.5M),1.18B,1.15B,1.02B,835M
Non Operating Income/Expense,9.2M,33M,137M,10M,21M
Non-Operating Interest Income,5.8M,6.4M,12M,12M,12M
Equity in Affiliates (Pretax),51.2M,48.9M,32M,18M,48M
Interest Expense,71.8M,68M,66M,91M,127M
Interest Expense Growth,-,-5.29%,-2.94%,37.88%,39.56%
Gross Interest Expense,91.5M,90.3M,82M,99M,139M
Interest Capitalized,19.7M,22.3M,16M,8M,12M
Pretax Income,1.06B,1.2B,1.27B,964M,789M
Pretax Income Growth,-,12.44%,5.78%,-23.79%,-18.15%
Pretax Margin,-,-,-,-,5.32%
Income Tax,580.3M,211.3M,468M,397M,150M
Income Tax - Current Domestic,41M,22.5M,36M,21M,50M
Income Tax - Current Foreign,247.4M,258.8M,245M,252M,276M
Income Tax - Deferred Domestic,325.8M,(48.1M),173M,81M,(111M)
Income Tax - Deferred Foreign,(33.9M),(21.9M),14M,43M,(65M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,483.3M,984.6M,797M,567M,639M
Minority Interest Expense,43.4M,53.9M,51M,67M,102M
Net Income,439.9M,930.7M,746M,500M,537M
Net Income Growth,-,111.57%,-19.85%,-32.98%,7.40%
Net Margin Growth,-,-,-,-,3.62%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,439.9M,930.7M,746M,500M,537M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,439.9M,930.7M,746M,500M,537M
EPS (Basic),2.09,4.47,3.63,2.35,2.26
EPS (Basic) Growth,-,113.84%,-18.87%,-35.27%,-3.92%
Basic Shares Outstanding,210.43M,208.2M,205.7M,213M,238.1M
EPS (Diluted),2.08,4.44,3.61,2.34,2.24
EPS (Diluted) Growth,-,113.65%,-18.80%,-35.23%,-4.03%
Diluted Shares Outstanding,211.55M,209.5M,206.8M,214M,239.5M
EBITDA,1.62B,1.72B,1.67B,1.49B,2.16B
EBITDA Growth,-,6.07%,-2.79%,-11.01%,45.12%
EBITDA Margin,-,-,-,-,14.54%
