Item,2017,2018,2019,2020,2021
Sales/Revenue,2.76B,3.12B,2.9B,2.82B,3.41B
Sales Growth,-,12.89%,-6.86%,-2.78%,20.78%
Cost of Goods Sold (COGS) incl. D&A,1.8B,2.12B,1.88B,1.72B,2.19B
COGS Growth,-,18.31%,-11.45%,-8.63%,27.44%
COGS excluding D&A,1.48B,1.76B,1.49B,1.29B,1.71B
Depreciation & Amortization Expense,319.45M,361.08M,391.46M,429.83M,477.98M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,964.65M,991.82M,1.02B,1.1B,1.22B
Gross Income Growth,-,2.82%,2.97%,7.99%,10.42%
Gross Profit Margin,-,-,-,-,35.74%
SG&A Expense,-,-,-,-,-
SGA Growth,-,-,-,-,-
Research & Development,-,-,-,-,-
Other SG&A,-,-,-,-,-
Other Operating Expense,240.41M,263.89M,275.19M,278.76M,312.78M
Unusual Expense,(3.4M),-,-,-,-
EBIT after Unusual Expense,727.64M,-,-,-,-
Non Operating Income/Expense,(4.41M),(12.54M),3.5M,4.24M,(8.86M)
Non-Operating Interest Income,-,-,-,2.93M,2.14M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,119.14M,104.25M,99.25M,84.47M,78.99M
Interest Expense Growth,-,-12.50%,-4.79%,-14.89%,-6.49%
Gross Interest Expense,121.64M,111.06M,106.9M,92.91M,90.4M
Interest Capitalized,2.5M,6.81M,7.64M,8.44M,11.41M
Pretax Income,604.09M,611.14M,650.31M,746.8M,819.3M
Pretax Income Growth,-,1.17%,6.41%,14.84%,9.71%
Pretax Margin,-,-,-,-,24.04%
Income Tax,221.38M,8.08M,138.9M,145.35M,153.74M
Income Tax - Current Domestic,9.02M,(157.81M),8.41M,14.19M,252K
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,212.36M,165.89M,130.49M,131.16M,153.48M
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(475K),(580K),(416K),(444K),(465K)
Consolidated Net Income,382.24M,602.48M,510.99M,601M,665.1M
Minority Interest Expense,-,-,-,-,-
Net Income,382.24M,602.48M,510.99M,601M,665.1M
Net Income Growth,-,57.62%,-15.19%,17.61%,10.67%
Net Margin Growth,-,-,-,-,19.52%
Extraordinaries & Discontinued Operations,13.7M,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,2.72M,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,10.98M,-,-,-,-
Net Income After Extraordinaries,395.93M,602.48M,510.99M,601M,665.1M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,393.22M,602.48M,510.99M,601M,665.1M
EPS (Basic),3.71,5.43,4.36,4.89,5.12
EPS (Basic) Growth,-,46.44%,-19.66%,12.26%,4.70%
Basic Shares Outstanding,106.1M,111.01M,117.2M,122.79M,129.78M
EPS (Diluted),3.71,5.43,4.35,4.89,5.12
EPS (Diluted) Growth,-,46.44%,-19.84%,12.44%,4.73%
Diluted Shares Outstanding,106.1M,111.01M,117.46M,122.87M,129.83M
EBITDA,1.04B,1.09B,1.14B,1.25B,1.38B
EBITDA Growth,-,4.34%,4.45%,10.23%,10.29%
EBITDA Margin,-,-,-,-,40.59%
