Item,2017,2018,2019,2020,2021
Sales/Revenue,7.02B,7.49B,6.45B,8.09B,8.8B
Sales Growth,-,6.78%,-13.92%,25.41%,8.83%
Cost of Goods Sold (COGS) incl. D&A,2.5B,2.52B,2.09B,2.27B,2.32B
COGS Growth,-,0.64%,-16.81%,8.45%,2.33%
COGS excluding D&A,1.3B,1.52B,1.48B,1.76B,1.82B
Depreciation & Amortization Expense,1.2B,998M,617M,511M,505M
Depreciation,129M,138M,188M,182M,170M
Amortization of Intangibles,1.07B,860M,429M,329M,335M
Gross Income,4.52B,4.98B,4.36B,5.82B,6.48B
Gross Income Growth,-,10.19%,-12.46%,33.56%,11.36%
Gross Profit Margin,-,-,-,-,73.60%
SG&A Expense,3.21B,2.99B,2.66B,2.99B,3.14B
SGA Growth,-,-6.92%,-11.02%,12.46%,5.22%
Research & Development,1.07B,1.1B,998M,1.15B,1.34B
Other SG&A,2.14B,1.88B,1.66B,1.84B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,12M,50M,94M,122M,65M
EBIT after Unusual Expense,1.3B,(50M),1.61B,2.71B,3.27B
Non Operating Income/Expense,16M,11M,38M,(15M),(4M)
Non-Operating Interest Income,-,65M,79M,21M,5M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,162M,140M,90M,99M,108M
Interest Expense Growth,-,-13.58%,-35.71%,10.00%,9.09%
Gross Interest Expense,162M,140M,90M,99M,108M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.15B,1.88B,1.63B,2.62B,3.16B
Pretax Income Growth,-,63.08%,-13.00%,60.20%,20.95%
Pretax Margin,-,-,-,-,35.94%
Income Tax,878M,29M,130M,419M,465M
Income Tax - Current Domestic,722M,(223M),160M,298M,224M
Income Tax - Current Foreign,335M,280M,323M,218M,229M
Income Tax - Deferred Domestic,(143M),(47M),765M,(94M),85M
Income Tax - Deferred Foreign,(36M),19M,(1.12B),(3M),(73M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,273M,1.85B,1.5B,2.2B,2.7B
Minority Interest Expense,-,-,-,-,-
Net Income,273M,1.85B,1.5B,2.2B,2.7B
Net Income Growth,-,576.92%,-18.67%,46.17%,22.85%
Net Margin Growth,-,-,-,-,30.66%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,273M,1.85B,1.5B,2.2B,2.7B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,273M,1.85B,1.5B,2.2B,2.7B
EPS (Basic),0.36,2.43,1.96,2.85,3.47
EPS (Basic) Growth,-,573.67%,-19.20%,45.41%,21.90%
Basic Shares Outstanding,754M,762M,767M,771M,777M
EPS (Diluted),0.36,2.4,1.95,2.82,3.44
EPS (Diluted) Growth,-,565.81%,-18.67%,44.86%,21.91%
Diluted Shares Outstanding,766M,771M,771M,778M,784M
EBITDA,2.51B,2.99B,2.32B,3.34B,3.84B
EBITDA Growth,-,19.18%,-22.48%,44.24%,14.93%
EBITDA Margin,-,-,-,-,43.63%
