Item,2017,2018,2019,2020,2021
Sales/Revenue,48.38B,60.12B,74.64B,111.12B,125.98B
Sales Growth,-,24.25%,24.16%,48.87%,13.38%
Premiums Earned,43.35B,53.63B,67.44B,100.06B,112.32B
Total Investment Income,-,-,-,-,-
Realized Gains (Losses),-,-,-,-,-
Other Operating Income,5.03B,6.49B,7.2B,11.06B,13.66B
"Losses, Claims & Reserves",37.85B,46.06B,58.86B,86.26B,98.6B
"Losses, Claims & Reserves Growth",-,21.68%,27.80%,46.55%,14.30%
"Losses, Benefits & Adjustments",37.85B,46.06B,58.86B,86.26B,98.6B
Loss Ratio,-,-,-,-,N/A
"Selling, General & Admin. Expenses & Other",9.31B,12.18B,13.64B,21.12B,23.89B
SGA Growth,-,30.78%,11.99%,54.82%,13.14%
"Selling, General & Admin. Expenses",4.58B,6.54B,6.71B,11.48B,10.71B
"Other Selling, General & Admin. Expense",-,-,-,-,-
Underwriting & Commissions,-,-,-,-,-
Other Operating Expense,4.73B,5.64B,6.93B,9.64B,13.18B
Operating Income Before Interest Expense,1.22B,1.88B,2.14B,3.73B,3.49B
Operating Income Growth,-,54.27%,13.73%,74.73%,-6.59%
"Interest Expense, Net of Interest Capitalized",255M,343M,412M,728M,665M
Interest Expense (excl. Interest Capitalized),255M,343M,412M,728M,665M
Interest Capitalized,-,-,-,-,-
Operating Income After Interest Expense,1.22B,1.88B,2.14B,3.73B,3.49B
Non-Operating Income (Expense),190M,253M,443M,480M,510M
Miscellaneous Non Operating Expense,-,-,-,104M,510M
Equity in Affiliates (Pretax),3M,-,-,-,-
Unusual Expense,19M,421M,386M,713M,1.52B
Pretax Income,1.13B,1.37B,1.78B,2.77B,1.81B
Pretax Income Growth,-,20.63%,30.26%,55.61%,-34.62%
Income Tax,326M,474M,473M,979M,477M
Income Tax - Current Domestic,435M,605M,422M,1.11B,621M
Income Tax - Current Foreign,-,-,-,4M,7M
Income Tax - Deferred Domestic,(109M),(131M),51M,(136M),(151M)
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,808M,894M,1.31B,1.79B,1.34B
Minority Interest Expense,(20M),(6M),(12M),(14M),(11M)
Net Income,828M,900M,1.32B,1.81B,1.35B
Net Income Growth,-,8.70%,46.78%,36.87%,-25.50%
Net Margin Growth,-,-,-,-,1.07%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,828M,900M,1.32B,1.81B,1.35B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,828M,900M,1.32B,1.81B,1.35B
EPS (Basic),2.4,2.31,3.19,3.17,2.31
EPS (Basic) Growth,-,-3.95%,38.53%,-0.84%,-27.05%
Basic Shares Outstanding,344.85M,390.25M,413.49M,570.72M,582.83M
EPS (Diluted),2.34,2.26,3.14,3.12,2.28
EPS (Diluted) Growth,-,-3.61%,39.13%,-0.65%,-26.93%
Diluted Shares Outstanding,353.4M,398.51M,420.41M,579.14M,590.52M
