Item,2017,2018,2019,2020,2021
Sales/Revenue,5.89B,7.35B,6.49B,4.44B,7.99B
Sales Growth,-,24.82%,-11.66%,-31.67%,80.05%
Cost of Goods Sold (COGS) incl. D&A,4.54B,4.8B,5.49B,3.91B,4.71B
COGS Growth,-,5.84%,14.24%,-28.69%,20.44%
COGS excluding D&A,1.7B,1.94B,2.02B,1.82B,3.14B
Depreciation & Amortization Expense,2.84B,2.86B,3.46B,2.09B,1.57B
Depreciation,2.84B,2.86B,3.46B,2.09B,1.57B
Amortization of Intangibles,-,-,-,-,-
Gross Income,1.35B,2.55B,1B,522M,3.27B
Gross Income Growth,-,88.66%,-60.55%,-48.01%,526.82%
Gross Profit Margin,-,-,-,-,40.98%
SG&A Expense,395M,431M,406M,290M,376M
SGA Growth,-,9.11%,-5.80%,-28.57%,29.66%
Research & Development,-,-,-,-,-
Other SG&A,395M,431M,406M,290M,-
Other Operating Expense,151M,219M,207M,123M,204M
Unusual Expense,84M,526M,3.12B,4.48B,265M
EBIT after Unusual Expense,719M,1.37B,(3.12B),(4.37B),2.43B
Non Operating Income/Expense,595M,(27M),87M,(99M),(240M)
Non-Operating Interest Income,19M,22M,13M,7M,8M
Equity in Affiliates (Pretax),-,-,19M,59M,114M
Interest Expense,415M,406M,400M,434M,418M
Interest Expense Growth,-,-2.17%,-1.48%,8.50%,-3.69%
Gross Interest Expense,466M,450M,437M,446M,427M
Interest Capitalized,51M,44M,37M,12M,9M
Pretax Income,918M,958M,(3.01B),(4.84B),1.89B
Pretax Income Growth,-,4.36%,-413.99%,-60.90%,139.07%
Pretax Margin,-,-,-,-,23.68%
Income Tax,(585M),672M,674M,64M,578M
Income Tax - Current Domestic,(46M),(1M),1M,(2M),16M
Income Tax - Current Foreign,641M,895M,659M,178M,636M
Income Tax - Deferred Domestic,(1.01B),(63M),67M,-,-
Income Tax - Deferred Foreign,(170M),(159M),(53M),(112M),(74M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,(38M),(76M),(162M)
Consolidated Net Income,1.5B,286M,(3.72B),(4.98B),1.15B
Minority Interest Expense,199M,246M,(167M),(120M),178M
Net Income,1.3B,40M,(3.55B),(4.86B),973M
Net Income Growth,-,-96.93%,"-8,982.50%",-36.79%,120.02%
Net Margin Growth,-,-,-,-,12.19%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.3B,40M,(3.55B),(4.86B),973M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.3B,40M,(3.55B),(4.86B),973M
EPS (Basic),3.42,0.1,(9.42),(12.86),2.6
EPS (Basic) Growth,-,-96.94%,"-9,101.34%",-36.42%,120.23%
Basic Shares Outstanding,381M,382M,377M,378M,374M
EPS (Diluted),3.4,0.1,(9.42),(12.86),2.59
EPS (Diluted) Growth,-,-96.94%,"-9,144.53%",-36.42%,120.18%
Diluted Shares Outstanding,383M,384M,377M,378M,375M
EBITDA,3.64B,4.76B,3.85B,2.2B,4.26B
EBITDA Growth,-,30.67%,-19.02%,-42.89%,93.64%
EBITDA Margin,-,-,-,-,53.38%
