Item,2017,2018,2019,2020,2021
Interest Income,2.91B,3.66B,3.94B,2.58B,1.91B
Interest Income Growth,-,25.93%,7.62%,-34.66%,-25.90%
Interest and Fees on Loans,504M,687M,769M,624M,638M
Interest Income on Fed. Funds,264M,335M,364M,126M,27M
Interest Income on Fed. Repos,1.08B,1.32B,1.49B,-,-
Interest on Bank Deposits,180M,387M,416M,76M,(15M)
Other Interest or Dividend Income,880M,932M,900M,1.75B,1.26B
Total Internest Expense,604M,991M,1.38B,375M,3M
Total Internest Expense Growth,-,64.07%,38.75%,-72.73%,-99.20%
Interest Expense on Bank Deposits,163M,363M,663M,(117M),(263M)
Other Interest Expense,439M,615M,681M,488M,-
Interest Expense on Debt,318M,406M,435M,430M,225M
Interest Capitalized,-,-,-,-,-
Other Borrowed Funds,121M,209M,246M,58M,41M
Net Interest Income,2.3B,2.67B,2.57B,2.2B,1.91B
Net Interest Income Growth,-,15.93%,-3.93%,-14.26%,-13.41%
Loan Loss Provision,2M,15M,10M,88M,(33M)
Loan Loss Provision Growth,-,650.00%,-33.33%,780.00%,-137.50%
Net Interest Income after Provision,2.3B,2.66B,2.56B,2.11B,1.94B
Net Interest Inc After Loan Loss Prov Growth,-,15.38%,-3.77%,-17.37%,-8.24%
Net Interest Margin,-,-,-,-,0.74%
Non-Interest Income,7.61B,9.94B,8.52B,8.58B,9.31B
Securities Gain,(39M),9M,(1M),4M,57M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",7.64B,9.93B,8.52B,8.57B,9.2B
Commission & Fee Income,6.03B,8.08B,6.75B,6.69B,7.15B
Other Operating Income,5M,-,-,-,53M
Non-Interest Expense,6.76B,8.26B,8.28B,7.67B,8.01B
Labor & Related Expense,4.25B,4.61B,4.34B,4.26B,4.22B
Equipment Expense,466M,500M,470M,438M,444M
Other Operating Expense,2.64B,3.1B,3.05B,2.85B,2.97B
Operating Income,3.15B,4.34B,2.8B,3.02B,3.24B
Operating Income Growth,-,37.81%,-35.59%,8.01%,7.22%
Operating Income Margin,-,-,-,-,28.87%
Non-Operating Income (Expense),-,-,-,-,-
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,251M,27M,33M,101M,65M
Pretax Income,2.9B,3.1B,2.71B,2.9B,3.17B
Pretax Income Growth,-,6.97%,-12.54%,6.90%,9.38%
Pretax Margin,-,-,-,-,28.27%
Income Taxes,722M,508M,470M,479M,478M
Income Tax - Current - Domestic,247M,270M,243M,363M,314M
Income Tax - Current - Foreign,380M,374M,357M,310M,326M
Income Tax - Deferred - Domestic,114M,(150M),27M,(163M),(159M)
Income Tax - Deferred - Foreign,(19M),14M,(157M),(31M),(3M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,2.18B,2.59B,2.24B,2.42B,2.69B
Minority Interest Expense,-,-,-,-,-
Net Income,2.18B,2.59B,2.24B,2.42B,2.69B
Net Income Growth,-,19.11%,-13.54%,7.94%,11.28%
Net Income Margin,-,-,-,-,24.01%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,-,-,-,-
Preferred Dividends,184M,189M,233M,163M,121M
Net Income Available to Common,1.99B,2.4B,2.01B,2.26B,2.57B
EPS (Basic),5.32,6.46,5.43,6.4,7.3
EPS (Basic) Grwoth,-,21.53%,-15.96%,17.77%,14.05%
Basic Shares Outstanding,374.79M,371.98M,369.91M,352.87M,352.57M
EPS (Diluted),5.24,6.39,5.38,6.32,7.19
EPS (Diluted) Growth,-,21.82%,-15.80%,17.55%,13.68%
Diluted Shares Outstanding,380.21M,376.48M,373.67M,357.11M,357.96M
