Item,2017,2018,2019,2020,2021
Sales/Revenue,4.38B,5.07B,5.56B,6B,6.64B
Sales Growth,-,15.92%,9.68%,7.88%,10.61%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,4.38B,5.07B,5.56B,6B,6.64B
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Total Expense,3.59B,3.96B,4.34B,4.99B,5.34B
Total Interest Expense,478.7M,521.49M,499.02M,432.5M,377.2M
Depreciation & Amortization Expense,1.03B,1.23B,1.29B,1.43B,1.66B
Other Operating Expense,247.5M,73.02M,180.81M,414.09M,191.78M
Operating Income,782.45M,1.11B,1.22B,1.01B,1.29B
Operating Income Growth,-,42.31%,9.75%,-16.99%,27.63%
Non-Operating Income (Expense),87.49M,(73.16M),62.93M,143.31M,(170.71M)
Non-Operating Interest Income,13.08M,14.48M,27.7M,8.65M,2.64M
Miscellaneous Non Operating Expense,74.41M,(87.64M),35.23M,134.66M,(173.35M)
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,104.41M,85.79M,93.4M,209.05M,137.89M
Pretax Income,286.83M,433.04M,692.6M,516.23M,608.95M
Pretax Income Growth,-,50.97%,59.94%,-25.47%,17.96%
Pretax Margin,-,-,-,-,9.17%
Income Taxes,53.85M,67.68M,185.35M,146.15M,109.22M
Income Tax - Current Domestic,(8.5M),(4.42M),22.53M,(6.15M),(7.6M)
Income Tax - Current Foreign,109.03M,118.18M,135.36M,171.09M,76.45M
Income Tax - Deferred Domestic,(11.7M),29.04M,9.23M,(17.26M),(9.65M)
Income Tax - Deferred Foreign,(34.98M),(75.11M),18.23M,(1.54M),50.02M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,232.98M,365.36M,507.25M,370.07M,499.73M
Minority Interest Expense,-,-,(205K),297K,(463K)
Net Income,232.98M,365.36M,507.45M,369.78M,500.19M
Net Income Growth,-,56.82%,38.89%,-27.13%,35.27%
Net Margin Growth,-,-,-,-,7.54%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,232.98M,365.36M,507.45M,369.78M,500.19M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,232.98M,365.36M,507.45M,369.78M,500.19M
EPS (Basic),3.03,4.58,6.03,4.22,5.57
EPS (Basic) Growth,-,51.07%,31.69%,-30.09%,32.15%
Basic Shares Outstanding,76.85M,79.78M,84.14M,87.7M,89.77M
EPS (Diluted),3,4.56,5.99,4.18,5.53
EPS (Diluted) Growth,-,51.61%,31.54%,-30.21%,32.28%
Diluted Shares Outstanding,77.54M,80.2M,84.68M,88.41M,90.41M
