Item,2017,2018,2019,2020,2021
Sales/Revenue,62.48B,22.59B,21.51B,14.34B,16.65B
Sales Growth,-,-63.84%,-4.79%,-33.35%,16.15%
Cost of Goods Sold (COGS) incl. D&A,49.09B,16.35B,15.11B,9.97B,11.3B
COGS Growth,-,-66.70%,-7.59%,-33.97%,13.27%
COGS excluding D&A,45.12B,14.18B,13.04B,8.6B,9.9B
Depreciation & Amortization Expense,3.97B,2.17B,2.07B,1.37B,1.4B
Depreciation,2.96B,1.13B,1.02B,677M,670M
Amortization of Intangibles,1.01B,1.04B,1.05B,696M,725M
Gross Income,13.39B,6.25B,6.41B,4.36B,5.36B
Gross Income Growth,-,-53.35%,2.53%,-31.88%,22.71%
Gross Profit Margin,-,-,-,-,32.16%
SG&A Expense,6.21B,4.1B,3.62B,2.33B,2.47B
SGA Growth,-,-33.96%,-11.71%,-35.71%,6.32%
Research & Development,2.14B,1.07B,955M,625M,618M
Other SG&A,4.06B,3.03B,2.66B,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,6.64B,2.03B,2.89B,4.47B,473M
EBIT after Unusual Expense,(6.64B),(2.03B),(2.89B),(4.47B),2.41B
Non Operating Income/Expense,818M,53M,160M,656M,214M
Non-Operating Interest Income,147M,39M,55M,12M,4M
Equity in Affiliates (Pretax),764M,447M,84M,187M,94M
Interest Expense,1.09B,55M,668M,672M,525M
Interest Expense Growth,-,-94.94%,"1,114.55%",0.60%,-21.88%
Gross Interest Expense,1.33B,55M,668M,672M,525M
Interest Capitalized,247M,-,-,-,-
Pretax Income,1.19B,600M,(474M),(2.25B),2.2B
Pretax Income Growth,-,-49.71%,-179.00%,-373.84%,197.77%
Pretax Margin,-,-,-,-,13.19%
Income Tax,(476M),195M,140M,160M,392M
Income Tax - Current Domestic,(76M),410M,27M,125M,175M
Income Tax - Current Foreign,1.77B,452M,554M,341M,507M
Income Tax - Deferred Domestic,(1.76B),(613M),(285M),(280M),(215M)
Income Tax - Deferred Foreign,(410M),(54M),(156M),(26M),(75M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(13M),(17M),(1M),-,-
Consolidated Net Income,1.66B,388M,(615M),(2.41B),1.8B
Minority Interest Expense,132M,39M,30M,28M,48M
Net Income,1.52B,349M,(645M),(2.43B),1.76B
Net Income Growth,-,-77.10%,-284.81%,-277.36%,172.14%
Net Margin Growth,-,-,-,-,10.54%
Extraordinaries & Discontinued Operations,(77M),3.48B,1.14B,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,(77M),3.48B,1.14B,(517M),4.71B
Net Income After Extraordinaries,1.45B,3.83B,497M,(2.95B),6.47B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.45B,3.83B,497M,(2.95B),6.47B
EPS (Basic),2.76,4.99,0.67,(4.01),11.92
EPS (Basic) Growth,-,80.83%,-86.66%,-702.43%,397.00%
Basic Shares Outstanding,526.6M,767M,746.3M,735.5M,542.7M
EPS (Diluted),2.73,4.96,0.67,(4.01),11.88
EPS (Diluted) Growth,-,81.68%,-86.57%,-702.43%,396.18%
Diluted Shares Outstanding,532.7M,771.8M,746.3M,735.5M,544.2M
EBITDA,11.16B,4.32B,4.85B,3.41B,4.28B
EBITDA Growth,-,-61.28%,12.36%,-29.73%,25.39%
EBITDA Margin,-,-,-,-,25.68%
