Item,2017,2018,2019,2020,2021
Sales/Revenue,8.15B,8.49B,9.04B,8.63B,9.02B
Sales Growth,-,4.12%,6.48%,-4.45%,4.53%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,(53M),(28M),(9M),(8M),3M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",8.12B,8.41B,8.95B,8.56B,8.83B
Commission & Fee Income,8.12B,8.41B,8.95B,8.56B,8.83B
Total Expense,7.05B,7.5B,7.68B,7.64B,7.6B
Total Interest Expense,187M,207M,234M,244M,211M
Depreciation & Amortization Expense,784M,742M,729M,914M,810M
Other Operating Expense,4.74B,5.12B,5.47B,5.39B,5.5B
Operating Income,1.1B,982M,1.36B,990M,1.42B
Operating Income Growth,-,-10.40%,38.49%,-27.21%,43.64%
Non-Operating Income (Expense),(19M),278M,209M,399M,701M
Non-Operating Interest Income,-,-,-,6M,8M
Miscellaneous Non Operating Expense,(19M),275M,209M,393M,693M
Equity in Affiliates (Pretax),-,3M,-,-,-
Unusual Expense,401M,202M,13M,134M,(780M)
Pretax Income,489M,851M,1.32B,1.01B,2.69B
Pretax Income Growth,-,74.03%,55.35%,-23.52%,166.27%
Pretax Margin,-,-,-,-,29.83%
Income Taxes,(100M),136M,249M,249M,536M
Income Tax - Current Domestic,(136M),123M,194M,-,104M
Income Tax - Current Foreign,113M,128M,127M,150M,336M
Income Tax - Deferred Domestic,(54M),(91M),(55M),79M,38M
Income Tax - Deferred Foreign,(23M),(24M),(17M),20M,58M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,3M,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,592M,715M,1.07B,762M,2.16B
Minority Interest Expense,24M,20M,29M,24M,14M
Net Income,568M,695M,1.04B,738M,2.14B
Net Income Growth,-,22.36%,50.22%,-29.31%,190.24%
Net Margin Growth,-,-,-,-,23.74%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,258M,2.08B
Net Income After Extraordinaries,568M,695M,1.04B,996M,4.22B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,568M,695M,1.04B,996M,4.22B
EPS (Basic),4.21,5.31,8.03,7.66,32.98
EPS (Basic) Growth,-,26.02%,51.37%,-4.60%,330.52%
Basic Shares Outstanding,135M,131M,130M,130M,128M
EPS (Diluted),4.18,5.27,8.03,7.66,32.73
EPS (Diluted) Growth,-,25.96%,52.53%,-4.60%,327.18%
Diluted Shares Outstanding,136M,132M,130M,130M,129M
