Item,2018,2019,2020,2021,2022
Sales/Revenue,499.91B,514.41B,523.96B,559.15B,572.75B
Sales Growth,-,2.90%,1.86%,6.72%,2.43%
Cost of Goods Sold (COGS) incl. D&A,373.4B,385.3B,394.61B,420.32B,429B
COGS Growth,-,3.19%,2.41%,6.52%,2.07%
COGS excluding D&A,362.87B,374.62B,383.62B,409.16B,418.34B
Depreciation & Amortization Expense,10.53B,10.68B,10.99B,11.15B,10.66B
Depreciation,10.53B,10.68B,10.99B,11.15B,10.66B
Amortization of Intangibles,-,-,-,-,-
Gross Income,126.51B,129.1B,129.36B,138.84B,143.75B
Gross Income Growth,-,2.05%,0.20%,7.33%,3.54%
Gross Profit Margin,-,-,-,-,25.10%
SG&A Expense,105.31B,107.15B,107.89B,111.89B,115.31B
SGA Growth,-,1.74%,0.69%,3.70%,3.06%
Research & Development,-,-,-,-,-
Other SG&A,105.31B,107.15B,107.89B,111.89B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,4.34B,8.37B,(1.06B),(4.11B),7.48B
EBIT after Unusual Expense,16.87B,13.59B,22.53B,31.06B,20.97B
Non Operating Income/Expense,435M,49M,-,(8.3B),(433M)
Non-Operating Interest Income,152M,217M,189M,121M,158M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,2.33B,2.4B,2.6B,2.32B,1.99B
Interest Expense Growth,-,2.75%,8.52%,-10.93%,-13.87%
Gross Interest Expense,2.35B,2.4B,2.6B,2.32B,1.99B
Interest Capitalized,17M,-,-,-,-
Pretax Income,15.12B,11.46B,20.12B,20.56B,18.7B
Pretax Income Growth,-,-24.22%,75.53%,2.23%,-9.08%
Pretax Margin,-,-,-,-,3.26%
Income Tax,4.6B,4.28B,4.92B,6.86B,4.76B
Income Tax - Current Domestic,3.4B,3.26B,3.38B,3.73B,3.96B
Income Tax - Current Foreign,1.38B,1.5B,1.21B,1.13B,1.55B
Income Tax - Deferred Domestic,(34M),(377M),698M,2.34B,(630M)
Income Tax - Deferred Foreign,(146M),(93M),(369M),(341M),(129M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,10.52B,7.18B,15.2B,13.71B,13.94B
Minority Interest Expense,661M,509M,320M,196M,267M
Net Income,9.86B,6.67B,14.88B,13.51B,13.67B
Net Income Growth,-,-32.37%,123.10%,-9.21%,1.21%
Net Margin Growth,-,-,-,-,2.39%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,9.86B,6.67B,14.88B,13.51B,13.67B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,9.86B,6.67B,14.88B,13.51B,13.67B
EPS (Basic),3.29,2.28,5.22,4.77,4.9
EPS (Basic) Growth,-,-30.70%,129.01%,-8.60%,2.62%
Basic Shares Outstanding,3B,2.93B,2.85B,2.83B,2.79B
EPS (Diluted),3.28,2.26,5.19,4.75,4.87
EPS (Diluted) Growth,-,-31.10%,129.58%,-8.54%,2.72%
Diluted Shares Outstanding,3.01B,2.95B,2.87B,2.85B,2.81B
EBITDA,31.73B,32.64B,32.46B,38.1B,39.1B
EBITDA Growth,-,2.85%,-0.55%,17.39%,2.62%
EBITDA Margin,-,-,-,-,6.83%
