Item,2017,2018,2019,2020,2021
Sales/Revenue,59.8B,66.49B,45.4B,56.67B,64.36B
Sales Growth,-,11.18%,-31.71%,24.82%,13.57%
Cost of Goods Sold (COGS) incl. D&A,44.2B,49.84B,34.6B,47.66B,51.86B
COGS Growth,-,12.75%,-30.58%,37.75%,8.82%
COGS excluding D&A,42.19B,47.62B,32.16B,43.77B,47.6B
Depreciation & Amortization Expense,2.01B,2.22B,2.44B,3.89B,4.27B
Depreciation,1.18B,1.24B,1.19B,1.77B,1.83B
Amortization of Intangibles,834M,976M,1.24B,2.13B,2.44B
Gross Income,15.6B,16.65B,10.8B,9.01B,12.5B
Gross Income Growth,-,6.73%,-35.11%,-16.59%,38.70%
Gross Profit Margin,-,-,-,-,19.42%
SG&A Expense,8.86B,9.37B,6.16B,7.61B,7.83B
SGA Growth,-,5.76%,-34.20%,23.46%,2.90%
Research & Development,2.43B,2.46B,2.45B,2.58B,2.73B
Other SG&A,6.43B,6.9B,3.71B,5.03B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,(77M),192M,(91M),4.18B,833M
EBIT after Unusual Expense,77M,7.09B,91M,(2.78B),3.83B
Non Operating Income/Expense,1.85B,2.23B,1.01B,1.79B,2.42B
Non-Operating Interest Income,108M,187M,120M,42M,36M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,1.02B,1.23B,1.71B,1.41B,1.36B
Interest Expense Growth,-,20.45%,39.67%,-17.71%,-3.55%
Gross Interest Expense,1.02B,1.23B,1.71B,1.41B,1.36B
Interest Capitalized,-,-,-,-,-
Pretax Income,7.76B,8.28B,4.15B,(2.35B),4.93B
Pretax Income Growth,-,6.66%,-49.86%,-156.67%,309.56%
Pretax Margin,-,-,-,-,7.66%
Income Tax,2.84B,2.63B,421M,575M,786M
Income Tax - Current Domestic,1.64B,653M,(158M),369M,447M
Income Tax - Current Foreign,1.14B,1.24B,541M,305M,427M
Income Tax - Deferred Domestic,57M,119M,177M,(6M),15M
Income Tax - Deferred Foreign,5M,616M,(139M),(93M),(103M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,4.92B,5.65B,3.73B,(2.93B),4.15B
Minority Interest Expense,368M,385M,221M,181M,248M
Net Income,4.55B,5.27B,3.51B,(3.11B),3.9B
Net Income Growth,-,15.75%,-33.38%,-188.58%,225.35%
Net Margin Growth,-,-,-,-,6.06%
Extraordinaries & Discontinued Operations,-,-,2.03B,(410M),-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,2.03B,(410M),(33M)
Net Income After Extraordinaries,4.55B,5.27B,5.54B,(3.52B),3.86B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,4.55B,5.27B,5.54B,(3.52B),3.86B
EPS (Basic),5.76,6.58,6.48,(2.59),2.57
EPS (Basic) Growth,-,14.25%,-1.60%,-140.01%,199.29%
Basic Shares Outstanding,790M,800.4M,854.8M,1.36B,1.5B
EPS (Diluted),5.7,6.5,6.41,(2.59),2.56
EPS (Diluted) Growth,-,14.18%,-1.46%,-140.44%,198.83%
Diluted Shares Outstanding,799.1M,810.1M,863.9M,1.36B,1.51B
EBITDA,8.75B,9.5B,7.07B,5.29B,8.93B
EBITDA Growth,-,8.50%,-25.51%,-25.18%,68.79%
EBITDA Margin,-,-,-,-,13.88%
