Item,2017,2018,2019,2020,2021
Sales/Revenue,397.47M,435.57M,511.35M,689.13M,701.03M
Sales Growth,-,9.58%,17.40%,34.77%,1.73%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,-,-,-,-,-
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",393.85M,435.57M,511.35M,689.13M,698.95M
Commission & Fee Income,393.85M,435.57M,511.35M,689.13M,698.95M
Total Expense,195.7M,222.98M,260.47M,314.4M,363.77M
Total Interest Expense,-,-,-,1.14M,842K
Depreciation & Amortization Expense,19.27M,23.08M,32.65M,42.84M,60.25M
Other Operating Expense,108.48M,123.09M,142.42M,169.81M,186.09M
Operating Income,201.77M,212.58M,250.88M,374.73M,337.26M
Operating Income Growth,-,5.36%,18.02%,49.36%,-10.00%
Non-Operating Income (Expense),-,5.5M,6.54M,773K,(2.5M)
Non-Operating Interest Income,-,6.11M,8.06M,2.45M,401K
Miscellaneous Non Operating Expense,-,(610K),(1.52M),(1.67M),(2.9M)
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,-,-,-,-,-
Pretax Income,201.77M,218.09M,257.42M,374.36M,333.92M
Pretax Income Growth,-,8.09%,18.04%,45.43%,-10.80%
Pretax Margin,-,-,-,-,47.63%
Income Taxes,53.68M,45.23M,52.52M,74.98M,76.04M
Income Tax - Current Domestic,39.89M,37.55M,36.61M,49.35M,53.9M
Income Tax - Current Foreign,7.23M,8.86M,13.23M,15.54M,19.02M
Income Tax - Deferred Domestic,6.83M,(1.69M),2.98M,8.91M,3.03M
Income Tax - Deferred Foreign,(280K),515K,(308K),1.19M,91K
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,148.09M,172.85M,204.9M,299.38M,257.89M
Minority Interest Expense,-,-,-,-,-
Net Income,148.09M,172.85M,204.9M,299.38M,257.89M
Net Income Growth,-,16.72%,18.54%,46.11%,-13.86%
Net Margin Growth,-,-,-,-,36.79%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,148.09M,172.85M,204.9M,299.38M,257.89M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,148.09M,172.85M,204.9M,299.38M,257.89M
EPS (Basic),4.02,4.68,5.53,8.01,6.88
EPS (Basic) Growth,-,16.42%,18.14%,45.03%,-14.20%
Basic Shares Outstanding,36.86M,36.96M,37.08M,37.36M,37.51M
EPS (Diluted),3.89,4.57,5.4,7.85,6.77
EPS (Diluted) Growth,-,17.29%,18.23%,45.39%,-13.75%
Diluted Shares Outstanding,38.04M,37.86M,37.96M,38.14M,38.1M
