Item,2018,2019,2020,2021,2022
Sales/Revenue,136.81B,145.53B,152.92B,162.48B,181.36B
Sales Growth,-,6.38%,5.07%,6.25%,11.62%
Cost of Goods Sold (COGS) incl. D&A,130.2B,139.23B,146.57B,156.12B,175.13B
COGS Growth,-,6.93%,5.27%,6.52%,12.18%
COGS excluding D&A,129.18B,138.25B,145.65B,155.31B,174.41B
Depreciation & Amortization Expense,1.02B,986M,917M,805M,723M
Depreciation,446M,455M,405M,377M,412M
Amortization of Intangibles,574M,531M,512M,428M,311M
Gross Income,6.61B,6.3B,6.35B,6.36B,6.23B
Gross Income Growth,-,-4.62%,0.75%,0.19%,-2.04%
Gross Profit Margin,-,-,-,-,3.44%
SG&A Expense,4.07B,4.48B,4.57B,4.54B,4.56B
SGA Growth,-,10.10%,1.92%,-0.53%,0.31%
Research & Development,-,-,-,-,-
Other SG&A,4.07B,4.48B,4.57B,4.54B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,999M,264M,5.9B,1.29B,2.3B
EBIT after Unusual Expense,1.54B,1.56B,(4.12B),529M,(623M)
Non Operating Income/Expense,(1.44B),489M,587M,(24M),26M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,329M,294M,238M,182M,172M
Interest Expense Growth,-,-10.64%,-19.05%,-23.53%,-5.49%
Gross Interest Expense,333M,294M,238M,182M,172M
Interest Capitalized,4M,-,-,-,-
Pretax Income,(228M),1.75B,(3.77B),323M,(769M)
Pretax Income Growth,-,867.98%,-315.42%,108.56%,-338.08%
Pretax Margin,-,-,-,-,-0.42%
Income Tax,(487M),386M,(79M),(289M),163M
Income Tax - Current Domestic,382M,384M,813M,(897M),63M
Income Tax - Current Foreign,143M,85M,69M,112M,93M
Income Tax - Deferred Domestic,(987M),(65M),(949M),511M,8M
Income Tax - Deferred Foreign,(25M),(18M),(12M),(15M),(1M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,259M,1.37B,(3.69B),612M,(932M)
Minority Interest Expense,3M,2M,3M,1M,1M
Net Income,256M,1.36B,(3.7B),611M,(933M)
Net Income Growth,-,432.42%,-371.17%,116.53%,-252.70%
Net Margin Growth,-,-,-,-,-0.51%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,256M,1.36B,(3.7B),611M,(933M)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,256M,1.36B,(3.7B),611M,(933M)
EPS (Basic),0.82,4.54,(12.61),2.09,(3.34)
EPS (Basic) Growth,-,454.06%,-377.65%,116.59%,-259.81%
Basic Shares Outstanding,313M,300M,293M,292M,279M
EPS (Diluted),0.81,4.53,(12.61),2.08,(3.34)
EPS (Diluted) Growth,-,459.04%,-378.57%,116.47%,-260.91%
Diluted Shares Outstanding,315M,301M,293M,294M,279M
EBITDA,3.56B,2.81B,2.7B,2.62B,2.4B
EBITDA Growth,-,-21.09%,-3.85%,-2.82%,-8.62%
EBITDA Margin,-,-,-,-,1.32%
