Item,2017,2018,2019,2020,2021
Sales/Revenue,5.9B,6.18B,18.53B,18.19B,17.81B
Sales Growth,-,4.78%,199.68%,-1.79%,-2.09%
Cost of Goods Sold (COGS) incl. D&A,3.84B,4.03B,13.45B,12.86B,12.44B
COGS Growth,-,4.92%,233.63%,-4.44%,-3.24%
COGS excluding D&A,3.57B,3.77B,12.56B,11.81B,11.47B
Depreciation & Amortization Expense,273M,260M,894M,1.05B,970M
Depreciation,147M,143M,314M,318M,343M
Amortization of Intangibles,126M,117M,580M,729M,627M
Gross Income,2.06B,2.15B,5.07B,5.34B,5.38B
Gross Income Growth,-,4.52%,136.00%,5.22%,0.69%
Gross Profit Margin,-,-,-,-,30.18%
SG&A Expense,926M,978M,2.81B,3.17B,3.15B
SGA Growth,-,5.62%,187.73%,12.58%,-0.51%
Research & Development,310M,311M,658M,684M,692M
Other SG&A,616M,667M,2.16B,2.48B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,58M,74M,1.06B,965M,370M
EBIT after Unusual Expense,(58M),1.1B,1.2B,1.21B,1.85B
Non Operating Income/Expense,2M,(4M),866M,370M,694M
Non-Operating Interest Income,2M,2M,24M,16M,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,172M,170M,270M,270M,265M
Interest Expense Growth,-,-1.16%,58.82%,0.00%,-1.85%
Gross Interest Expense,172M,170M,270M,270M,265M
Interest Capitalized,-,-,-,-,-
Pretax Income,905M,926M,1.82B,1.32B,2.28B
Pretax Income Growth,-,2.32%,96.11%,-27.20%,72.69%
Pretax Margin,-,-,-,-,12.82%
Income Tax,267M,205M,146M,234M,440M
Income Tax - Current Domestic,123M,(152M),54M,382M,480M
Income Tax - Current Foreign,9M,12M,74M,76M,70M
Income Tax - Deferred Domestic,134M,348M,48M,(151M),(76M)
Income Tax - Deferred Foreign,1M,(3M),(30M),(73M),(34M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(2M),(2M),-,-,-
Consolidated Net Income,636M,719M,1.67B,1.09B,1.84B
Minority Interest Expense,-,-,24M,(33M),(4M)
Net Income,636M,719M,1.65B,1.12B,1.85B
Net Income Growth,-,13.05%,128.93%,-31.90%,64.76%
Net Margin Growth,-,-,-,-,10.37%
Extraordinaries & Discontinued Operations,(85M),(3M),(2M),(2M),-
Extra Items & Gain/Loss Sale Of Assets,(11M),-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,(74M),(3M),(2M),(2M),(1M)
Net Income After Extraordinaries,551M,716M,1.64B,1.12B,1.85B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,562M,716M,1.64B,1.12B,1.85B
EPS (Basic),4.58,6.04,3.72,5.23,9.17
EPS (Basic) Growth,-,31.70%,-38.45%,40.71%,75.38%
Basic Shares Outstanding,122.6M,118.6M,221.2M,214M,201.3M
EPS (Diluted),4.52,5.91,3.67,5.18,9.08
EPS (Diluted) Growth,-,30.77%,-37.85%,41.05%,75.28%
Diluted Shares Outstanding,124.3M,121.1M,223.7M,215.9M,203.2M
EBITDA,1.4B,1.43B,3.15B,3.22B,3.19B
EBITDA Growth,-,1.99%,120.25%,2.03%,-0.75%
EBITDA Margin,-,-,-,-,17.93%
