Item,2017,2018,2019,2020,2021
Interest Income,4.39B,4.88B,5.24B,4.69B,4.37B
Interest Income Growth,-,11.12%,7.32%,-10.51%,-6.79%
Interest and Fees on Loans,3.68B,4.02B,4.27B,3.87B,3.53B
Interest Income on Fed. Funds,-,-,-,-,-
Interest Income on Fed. Repos,-,-,-,-,-
Interest on Bank Deposits,-,-,-,-,-
Other Interest or Dividend Income,713M,855M,968M,819M,835M
Total Internest Expense,613M,969M,1.33B,651M,296M
Total Internest Expense Growth,-,58.08%,36.84%,-50.90%,-54.53%
Interest Expense on Bank Deposits,278M,517M,853M,347M,67M
Other Interest Expense,334M,441M,471M,298M,-
Interest Expense on Debt,334M,441M,471M,298M,229M
Interest Capitalized,-,-,-,-,-
Other Borrowed Funds,-,-,-,-,-
Net Interest Income,3.78B,3.91B,3.91B,4.03B,4.07B
Net Interest Income Growth,-,3.49%,0.00%,3.20%,0.92%
Loan Loss Provision,229M,246M,445M,1.02B,(418M)
Loan Loss Provision Growth,-,7.42%,80.89%,129.44%,-140.94%
Net Interest Income after Provision,3.55B,3.66B,3.46B,3.01B,4.49B
Net Interest Inc After Loan Loss Prov Growth,-,3.24%,-5.43%,-13.02%,48.99%
Net Interest Margin,-,-,-,-,2.77%
Non-Interest Income,2.36B,2.45B,2.36B,2.56B,3.03B
Securities Gain,8M,1M,20M,4M,-
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",2.02B,2.02B,1.96B,2.22B,2.76B
Commission & Fee Income,1.49B,1.53B,1.49B,1.72B,2.23B
Other Operating Income,334M,421M,383M,336M,276M
Non-Interest Expense,4.26B,3.94B,3.88B,3.9B,4.24B
Labor & Related Expense,2.27B,2.31B,2.25B,2.34B,2.56B
Equipment Expense,431M,279M,435M,303M,293M
Other Operating Expense,1.21B,1.06B,1.1B,1.21B,1.34B
Operating Income,1.65B,2.17B,1.95B,1.67B,3.29B
Operating Income Growth,-,31.52%,-10.53%,-13.93%,96.42%
Operating Income Margin,-,-,-,-,44.43%
Non-Operating Income (Expense),-,-,-,-,-
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,-,-,-,-,-
Pretax Income,1.93B,2.2B,2.02B,1.56B,3.25B
Pretax Income Growth,-,14.26%,-8.22%,-23.05%,109.13%
Pretax Margin,-,-,-,-,43.97%
Income Taxes,637M,344M,314M,227M,642M
Income Tax - Current - Domestic,334M,246M,-,-,-
Income Tax - Current - Foreign,-,-,-,-,-
Income Tax - Deferred - Domestic,303M,98M,53M,(192M),146M
Income Tax - Deferred - Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.29B,1.86B,1.71B,1.33B,2.61B
Minority Interest Expense,2M,-,-,-,-
Net Income,1.29B,1.86B,1.71B,1.33B,2.61B
Net Income Growth,-,44.22%,-8.12%,-22.19%,96.54%
Net Income Margin,-,-,-,-,35.29%
Extraordinaries & Discontinued Operations,7M,7M,9M,14M,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,7M,7M,9M,14M,13M
Net Income After Extraordinaries,1.28B,1.85B,1.7B,1.32B,-
Preferred Dividends,70M,66M,97M,106M,106M
Net Income Available to Common,1.23B,1.8B,1.62B,1.24B,2.52B
EPS (Basic),1.14,1.73,1.63,1.28,2.66
EPS (Basic) Grwoth,-,51.22%,-5.57%,-21.72%,108.09%
Basic Shares Outstanding,1.07B,1.04B,992.09M,967.78M,947.07M
EPS (Diluted),1.13,1.71,1.62,1.27,2.63
EPS (Diluted) Growth,-,51.55%,-5.29%,-21.49%,107.33%
Diluted Shares Outstanding,1.09B,1.05B,1B,974.81M,957.41M
