Item,2017,2018,2019,2020,2021
Sales/Revenue,8.96B,10.99B,11.79B,12.11B,19B
Sales Growth,-,22.65%,7.24%,2.75%,56.88%
Total Investment Income,12M,-,(6M),(4M),(4M)
Sundry Revenue/Income,278M,317M,383M,336M,753M
Trading Account Income,654M,763M,617M,1.42B,4.15B
"Trust Income, Commissions & Fees",3.39B,3.23B,3.21B,3.83B,5.59B
Commission & Fee Income,3.39B,3.23B,3.21B,3.83B,5.59B
Total Expense,5.15B,6.18B,6.91B,7.52B,10.89B
Total Interest Expense,160M,244M,27M,289M,393M
Depreciation & Amortization Expense,269M,306M,349M,604M,1.16B
Other Operating Expense,3.35B,3.74B,4B,4.82B,6.7B
Operating Income,3.81B,4.81B,4.88B,4.59B,8.11B
Operating Income Growth,-,26.14%,1.44%,-5.87%,76.64%
Non-Operating Income (Expense),-,-,-,-,-
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,-,-,-,-,-
Pretax Income,3.65B,4.56B,4.85B,4.3B,7.71B
Pretax Income Growth,-,24.99%,6.27%,-11.30%,79.37%
Pretax Margin,-,-,-,-,40.60%
Income Taxes,1.3B,1.06B,1.14B,1B,1.86B
Income Tax - Current Domestic,1.24B,1.01B,1.14B,1.14B,1.81B
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,58M,49M,2M,(138M),53M
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,2.35B,3.51B,3.7B,3.3B,5.86B
Minority Interest Expense,-,-,-,-,-
Net Income,2.35B,3.51B,3.7B,3.3B,5.86B
Net Income Growth,-,48.98%,5.62%,-10.93%,77.48%
Net Margin Growth,-,-,-,-,30.82%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,2.35B,3.51B,3.7B,3.3B,5.86B
Preferred Dividends,174M,178M,178M,256M,495M
Net Income Available to Common,2.18B,3.33B,3.53B,3.04B,5.36B
EPS (Basic),1.63,2.47,2.69,2.13,2.84
EPS (Basic) Growth,-,51.69%,8.91%,-20.82%,33.39%
Basic Shares Outstanding,1.34B,1.35B,1.31B,1.43B,1.89B
EPS (Diluted),1.61,2.45,2.67,2.12,2.83
EPS (Diluted) Growth,-,51.81%,9.21%,-20.61%,33.24%
Diluted Shares Outstanding,1.35B,1.36B,1.32B,1.44B,1.9B
