Item,2017,2018,2019,2020,2021
Sales/Revenue,1.6B,1.72B,1.84B,2.15B,2.83B
Sales Growth,-,7.36%,7.31%,16.44%,31.86%
Cost of Goods Sold (COGS) incl. D&A,1.09B,1.17B,1.23B,1.38B,1.66B
COGS Growth,-,7.95%,5.39%,11.66%,20.20%
COGS excluding D&A,988.7M,1.07B,1.13B,1.27B,1.54B
Depreciation & Amortization Expense,96.7M,104.4M,103.4M,109.1M,122.3M
Depreciation,94.3M,101.7M,100M,104.7M,116.9M
Amortization of Intangibles,2.4M,2.7M,3.4M,4.4M,5.4M
Gross Income,514.8M,546.3M,608.8M,767.9M,1.17B
Gross Income Growth,-,6.12%,11.44%,26.13%,52.81%
Gross Profit Margin,-,-,-,-,41.45%
SG&A Expense,285.1M,303.2M,311.6M,348.9M,414.7M
SGA Growth,-,6.35%,2.77%,11.97%,18.86%
Research & Development,39.1M,40.3M,38.9M,46.9M,52.8M
Other SG&A,246M,262.9M,272.7M,302M,-
Other Operating Expense,-,(11.7M),-,-,-
Unusual Expense,(2.4M),18.2M,7.4M,3.6M,3.9M
EBIT after Unusual Expense,2.4M,236.6M,289.8M,415.4M,754.8M
Non Operating Income/Expense,(3.9M),10.1M,6.2M,(7M),1.6M
Non-Operating Interest Income,1.3M,2.1M,3.8M,1.4M,1M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,7.1M,8.1M,8M,8.5M,8.5M
Interest Expense Growth,-,14.08%,-1.23%,6.25%,0.00%
Gross Interest Expense,9.8M,9M,9M,9.9M,10.5M
Interest Capitalized,2.7M,900K,1M,1.4M,2M
Pretax Income,222.4M,240.7M,291.8M,401.3M,748.9M
Pretax Income Growth,-,8.23%,21.23%,37.53%,86.62%
Pretax Margin,-,-,-,-,26.46%
Income Tax,80.9M,41.4M,59M,72.5M,107.2M
Income Tax - Current Domestic,2.2M,5.4M,13.2M,32.3M,75.7M
Income Tax - Current Foreign,37M,35.1M,30.5M,46M,74.4M
Income Tax - Deferred Domestic,41.8M,1.4M,10.3M,200K,7.3M
Income Tax - Deferred Foreign,(100K),(500K),5M,(6M),(50.2M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,9.2M,7.6M,8.9M,17.4M,20.1M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,150.7M,206.9M,241.7M,346.2M,661.8M
Minority Interest Expense,-,-,-,-,-
Net Income,150.7M,206.9M,241.7M,346.2M,661.8M
Net Income Growth,-,37.29%,16.82%,43.24%,91.16%
Net Margin Growth,-,-,-,-,23.38%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,150.7M,206.9M,241.7M,346.2M,661.8M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,150.7M,206.9M,241.7M,346.2M,661.8M
EPS (Basic),2.04,2.8,3.27,4.68,8.9
EPS (Basic) Growth,-,37.29%,16.66%,43.43%,89.88%
Basic Shares Outstanding,73.9M,73.9M,74M,73.9M,74.4M
EPS (Diluted),1.99,2.74,3.21,4.57,8.67
EPS (Diluted) Growth,-,38.02%,16.82%,42.48%,89.91%
Diluted Shares Outstanding,75.8M,75.4M,75.4M,75.8M,76.3M
EBITDA,326.4M,359.2M,400.6M,528.1M,881M
EBITDA Growth,-,10.05%,11.53%,31.83%,66.82%
EBITDA Margin,-,-,-,-,31.12%
