Item,2017,2018,2019,2020,2021
Sales/Revenue,6.61B,7.36B,8.23B,9.6B,11.87B
Sales Growth,-,11.40%,11.81%,16.61%,23.63%
Premiums Earned,5.94B,6.93B,7.4B,8.68B,10.41B
Total Investment Income,542.9M,581.18M,647.14M,642.47M,1.16B
Realized Gains (Losses),14.22M,(59.81M),18M,(12.76M),22.26M
Other Operating Income,113.11M,(91.58M),162.35M,286.89M,272.67M
"Losses, Claims & Reserves",4.52B,5.65B,4.92B,6.55B,7.39B
"Losses, Claims & Reserves Growth",-,24.96%,-12.89%,33.07%,12.83%
"Losses, Benefits & Adjustments",4.52B,5.65B,4.92B,6.55B,7.39B
Loss Ratio,-,-,-,-,N/A
"Selling, General & Admin. Expenses & Other",1.65B,1.92B,2.18B,2.43B,2.86B
SGA Growth,-,16.53%,13.34%,11.39%,17.88%
"Selling, General & Admin. Expenses",1.65B,1.92B,2.18B,2.43B,2.86B
"Other Selling, General & Admin. Expense",-,-,-,-,-
Underwriting & Commissions,318.82M,371.54M,440.9M,511.24M,582.65M
Other Operating Expense,-,-,-,-,-
Operating Income Before Interest Expense,436.79M,(211.15M),1.13B,621.67M,1.62B
Operating Income Growth,-,-148.34%,635.48%,-45.02%,159.91%
"Interest Expense, Net of Interest Capitalized",31.6M,31.03M,31.69M,36.32M,70.15M
Interest Expense (excl. Interest Capitalized),31.6M,31.03M,31.69M,36.32M,70.15M
Interest Capitalized,-,-,-,-,-
Operating Income After Interest Expense,436.79M,(211.15M),1.13B,621.67M,1.62B
Non-Operating Income (Expense),(25.5M),2.4M,(13.4M),(7.3M),28.1M
Miscellaneous Non Operating Expense,(25.5M),2.4M,(13.4M),(7.3M),28.1M
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,-,-,-,-,-
Pretax Income,405.18M,(242.18M),1.1B,585.35M,1.55B
Pretax Income Growth,-,-159.77%,553.79%,-46.74%,164.05%
Income Tax,(63.78M),(331.22M),89.53M,71.2M,166.54M
Income Tax - Current Domestic,(117.17M),(38.63M),(5.04M),(107.76M),123.88M
Income Tax - Current Foreign,2.85M,6.5M,14.42M,2.95M,2.04M
Income Tax - Deferred Domestic,49.76M,(299M),80.25M,178.52M,37.6M
Income Tax - Deferred Foreign,777K,(97K),(97K),(2.52M),3.03M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,464.13M,88.24M,998.18M,507.82M,1.36B
Minority Interest Expense,-,-,-,-,-
Net Income,464.13M,88.24M,998.18M,507.82M,1.36B
Net Income Growth,-,-80.99%,"1,031.23%",-49.13%,167.98%
Net Margin Growth,-,-,-,-,11.47%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,464.13M,88.24M,998.18M,507.82M,1.36B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,464.13M,88.24M,998.18M,507.82M,1.36B
EPS (Basic),11.43,2.18,24.77,12.81,34.66
EPS (Basic) Growth,-,-80.89%,"1,033.94%",-48.31%,170.67%
Basic Shares Outstanding,40.6M,40.39M,40.29M,39.66M,39.26M
EPS (Diluted),11.36,2.17,24.7,12.78,34.62
EPS (Diluted) Growth,-,-80.87%,"1,035.89%",-48.25%,170.92%
Diluted Shares Outstanding,40.84M,40.59M,40.42M,39.73M,39.3M
