Item,2017,2018,2019,2020,2021
Sales/Revenue,2.07B,2.16B,1.92B,1.53B,1.59B
Sales Growth,-,4.30%,-11.05%,-20.61%,4.01%
Total Investment Income,36.58M,-,-,-,-
Sundry Revenue/Income,254.94M,156.39M,157.48M,150.32M,164.68M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",114.23M,-,-,-,-
Commission & Fee Income,114.23M,-,-,-,-
Total Expense,1.82B,1.63B,1.63B,1.61B,1.35B
Total Interest Expense,345.65M,347.95M,286.62M,229.25M,231.1M
Depreciation & Amortization Expense,385.03M,446.57M,419.11M,399.7M,412.35M
Other Operating Expense,53.12M,111.01M,165.55M,279.72M,35.07M
Operating Income,255.16M,534.99M,294.44M,(79.81M),238.41M
Operating Income Growth,-,109.67%,-44.96%,-127.10%,398.74%
Non-Operating Income (Expense),64.57M,290.77M,3.54B,57.87M,203.56M
Non-Operating Interest Income,36.09M,30.17M,23.41M,12.81M,4.61M
Miscellaneous Non Operating Expense,13.28M,251.45M,3.43B,374.17M,68.43M
Equity in Affiliates (Pretax),15.2M,9.15M,78.87M,(329.11M),130.52M
Unusual Expense,-,18.22M,106.54M,174.03M,13.82M
Pretax Income,319.73M,459.6M,3.44B,(425.22M),197.06M
Pretax Income Growth,-,43.75%,647.99%,-112.37%,146.34%
Pretax Margin,-,-,-,-,12.40%
Income Taxes,42.38M,37.63M,103.44M,36.63M,(10.5M)
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(46K),(44K),(309K),(99K),(34K)
Consolidated Net Income,277.31M,421.92M,3.33B,(461.94M),207.52M
Minority Interest Expense,36.71M,(27.35M),186.33M,(164.84M),31.55M
Net Income,240.6M,449.27M,3.15B,(297.1M),175.97M
Net Income Growth,-,86.73%,600.61%,-109.44%,159.23%
Net Margin Growth,-,-,-,-,11.07%
Extraordinaries & Discontinued Operations,(13.23M),638K,(30K),-,-
Extra Items & Gain/Loss Sale Of Assets,6.61M,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,(19.83M),638K,(30K),-,-
Net Income After Extraordinaries,227.37M,449.91M,3.15B,(297.1M),175.97M
Preferred Dividends,65.4M,65.12M,50.13M,51.74M,74.91M
Net Income Available to Common,155.37M,384.79M,3.1B,(348.84M),101.05M
EPS (Basic),0.82,2.02,16.23,(1.83),0.53
EPS (Basic) Growth,-,146.39%,702.52%,-111.24%,128.91%
Basic Shares Outstanding,189.53M,190.22M,190.8M,191.15M,191.55M
EPS (Diluted),0.81,2.01,16.21,(1.83),0.53
EPS (Diluted) Growth,-,147.42%,705.50%,-111.26%,128.82%
Diluted Shares Outstanding,191.26M,191.29M,191.05M,191.15M,192.12M
