Item,2017,2018,2019,2020,2021
Sales/Revenue,7.01B,8.2B,8.23B,8.6B,10.88B
Sales Growth,-,16.98%,0.29%,4.54%,26.48%
Cost of Goods Sold (COGS) incl. D&A,4.7B,5.55B,5.61B,5.93B,7.47B
COGS Growth,-,17.99%,1.12%,5.80%,25.94%
COGS excluding D&A,4.47B,5.25B,5.3B,5.63B,7.08B
Depreciation & Amortization Expense,226.8M,299.7M,312.1M,308.1M,395.6M
Depreciation,178.2M,252.8M,244.8M,258.5M,309.2M
Amortization of Intangibles,48.6M,46.9M,67.3M,49.6M,86.4M
Gross Income,2.31B,2.65B,2.62B,2.66B,3.4B
Gross Income Growth,-,14.93%,-1.47%,1.84%,27.69%
Gross Profit Margin,-,-,-,-,31.28%
SG&A Expense,878.3M,959.5M,971.4M,1.01B,1.23B
SGA Growth,-,9.25%,1.24%,4.41%,20.91%
Research & Development,193.7M,220.9M,234.2M,260.7M,317.7M
Other SG&A,684.6M,738.6M,737.2M,753.5M,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,4.1M,8.5M,39.7M,11.5M,70.4M
EBIT after Unusual Expense,1.43B,1.69B,1.6B,1.64B,2.11B
Non Operating Income/Expense,(3.1M),3.2M,8.6M,3.6M,(400K)
Non-Operating Interest Income,20.2M,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,92.3M,101.7M,117.6M,115.4M,115.5M
Interest Expense Growth,-,10.18%,15.63%,-1.87%,0.09%
Gross Interest Expense,92.3M,101.7M,117.6M,115.4M,115.5M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.35B,1.59B,1.5B,1.53B,1.99B
Pretax Income Growth,-,17.45%,-5.82%,2.05%,30.30%
Pretax Margin,-,-,-,-,18.29%
Income Tax,691.7M,371.5M,331.9M,313.3M,409.1M
Income Tax - Current Domestic,200M,37.8M,22.9M,(5.7M),86.8M
Income Tax - Current Foreign,305.4M,345.7M,293.8M,288.2M,351.9M
Income Tax - Deferred Domestic,51M,27.8M,35.8M,43M,(35.4M)
Income Tax - Deferred Foreign,135.3M,(39.8M),(20.6M),(12.2M),5.8M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,660.7M,1.22B,1.16B,1.21B,1.58B
Minority Interest Expense,10.2M,11.9M,9M,9.9M,10.7M
Net Income,650.5M,1.21B,1.16B,1.2B,1.57B
Net Income Growth,-,85.24%,-4.15%,4.19%,30.41%
Net Margin Growth,-,-,-,-,14.43%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,21.4M
Net Income After Extraordinaries,650.5M,1.21B,1.16B,1.2B,1.59B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,650.5M,1.21B,1.16B,1.2B,1.59B
EPS (Basic),1.07,2,1.94,2.02,2.66
EPS (Basic) Growth,-,87.79%,-2.94%,4.01%,31.77%
Basic Shares Outstanding,611.4M,602.4M,595M,596M,597.9M
EPS (Diluted),1.03,1.93,1.88,1.96,2.54
EPS (Diluted) Growth,-,86.89%,-2.57%,4.33%,29.97%
Diluted Shares Outstanding,633M,625.2M,615.8M,615M,625.5M
EBITDA,1.66B,2B,1.96B,1.96B,2.57B
EBITDA Growth,-,20.30%,-1.92%,0.07%,31.31%
EBITDA Margin,-,-,-,-,23.64%
