Item,2017,2018,2019,2020,2021
Sales/Revenue,14.04B,14.92B,16.66B,17.2B,19.8B
Sales Growth,-,6.28%,11.68%,3.20%,15.15%
Total Investment Income,15M,17M,12M,(27M),298M
Sundry Revenue/Income,-,-,-,-,-
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",13.98B,14.84B,16.54B,17.18B,19.49B
Commission & Fee Income,13.98B,14.84B,16.54B,17.18B,19.49B
Total Expense,11.37B,12.38B,13.57B,13.59B,15.09B
Total Interest Expense,237M,290M,524M,515M,444M
Depreciation & Amortization Expense,481M,494M,962M,1.1B,1.07B
Other Operating Expense,8.09B,8.99B,9.73B,9.87B,11.38B
Operating Income,2.67B,2.54B,3.1B,3.61B,4.71B
Operating Income Growth,-,-5.05%,21.99%,16.60%,30.50%
Non-Operating Income (Expense),210M,272M,304M,264M,328M
Non-Operating Interest Income,9M,11M,39M,7M,2M
Miscellaneous Non Operating Expense,201M,261M,265M,257M,326M
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,3M,276M,437M,566M,387M
Pretax Income,2.64B,2.24B,2.44B,2.79B,4.21B
Pretax Income Growth,-,-15.10%,8.69%,14.51%,50.66%
Pretax Margin,-,-,-,-,21.25%
Income Taxes,1.13B,574M,666M,747M,1.03B
Income Tax - Current Domestic,349M,164M,127M,251M,383M
Income Tax - Current Foreign,388M,449M,455M,456M,714M
Income Tax - Deferred Domestic,324M,(38M),100M,54M,(51M)
Income Tax - Deferred Foreign,72M,(1M),(16M),(14M),(12M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.51B,1.67B,1.77B,2.05B,3.17B
Minority Interest Expense,20M,20M,31M,30M,31M
Net Income,1.49B,1.65B,1.74B,2.02B,3.14B
Net Income Growth,-,10.74%,5.58%,15.73%,55.90%
Net Margin Growth,-,-,-,-,15.87%
Extraordinaries & Discontinued Operations,2M,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,2M,-,-,-,-
Net Income After Extraordinaries,1.49B,1.65B,1.74B,2.02B,3.14B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.49B,1.65B,1.74B,2.02B,3.14B
EPS (Basic),2.91,3.26,3.44,3.98,6.2
EPS (Basic) Growth,-,12.03%,5.60%,15.73%,55.59%
Basic Shares Outstanding,513M,506M,506M,506M,507M
EPS (Diluted),2.87,3.23,3.41,3.94,6.13
EPS (Diluted) Growth,-,12.54%,5.54%,15.50%,55.60%
Diluted Shares Outstanding,519M,511M,511M,512M,513M
