Item,2017,2018,2019,2020,2021
Sales/Revenue,2.79B,3.43B,3.62B,4.12B,4.36B
Sales Growth,-,23.13%,5.42%,13.78%,5.83%
Cost of Goods Sold (COGS) incl. D&A,1.92B,2.13B,2.22B,2.52B,2.67B
COGS Growth,-,10.83%,4.04%,13.84%,5.80%
COGS excluding D&A,1.88B,2.08B,2.16B,2.46B,2.6B
Depreciation & Amortization Expense,44.37M,53.67M,59.93M,65.04M,72.92M
Depreciation,29.57M,34.97M,37.13M,42.04M,48.62M
Amortization of Intangibles,14.8M,18.7M,22.8M,23M,24.3M
Gross Income,865.99M,1.3B,1.4B,1.59B,1.69B
Gross Income Growth,-,50.43%,7.66%,13.69%,5.88%
Gross Profit Margin,-,-,-,-,38.74%
SG&A Expense,344.76M,378.36M,381.99M,403.69M,906.65M
SGA Growth,-,9.75%,0.96%,5.68%,124.59%
Research & Development,-,-,-,-,-
Other SG&A,344.76M,378.36M,381.99M,403.69M,-
Other Operating Expense,-,358.53M,390.8M,462.24M,-
Unusual Expense,-,-,-,-,(36.76M)
EBIT after Unusual Expense,-,-,-,-,818.36M
Non Operating Income/Expense,-,5.9M,(300K),(2.92M),(1.19M)
Non-Operating Interest Income,1.46M,3.33M,4.05M,1.65M,345K
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,122.54M,146.35M,150.82M,172.17M,191.81M
Interest Expense Growth,-,19.43%,3.06%,14.15%,11.41%
Gross Interest Expense,122.54M,146.35M,150.82M,172.17M,191.81M
Interest Capitalized,-,-,-,-,-
Pretax Income,400.15M,428.68M,482.64M,555.13M,625.71M
Pretax Income Growth,-,7.13%,12.59%,15.02%,12.71%
Pretax Margin,-,-,-,-,14.36%
Income Tax,122.25M,66.71M,81.93M,63.83M,115.24M
Income Tax - Current Domestic,116.09M,67.58M,85.23M,49.41M,117.75M
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,6.16M,(872K),(3.3M),14.42M,(2.51M)
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,277.91M,361.97M,400.71M,491.3M,510.47M
Minority Interest Expense,-,-,-,-,-
Net Income,277.91M,361.97M,400.71M,491.3M,510.47M
Net Income Growth,-,30.25%,10.70%,22.61%,3.90%
Net Margin Growth,-,-,-,-,11.72%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,277.91M,361.97M,400.71M,491.3M,510.47M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,277.91M,361.97M,400.71M,491.3M,510.47M
EPS (Basic),6.05,8.65,9.83,12.61,13.72
EPS (Basic) Growth,-,42.94%,13.66%,28.24%,8.86%
Basic Shares Outstanding,45.95M,41.86M,40.77M,38.97M,37.2M
EPS (Diluted),5.83,8.35,9.56,12.39,13.54
EPS (Diluted) Growth,-,43.29%,14.42%,29.67%,9.28%
Diluted Shares Outstanding,47.68M,43.33M,41.92M,39.64M,37.69M
EBITDA,565.6M,619.45M,689.64M,793.6M,854.52M
EBITDA Growth,-,9.52%,11.33%,15.08%,7.68%
EBITDA Margin,-,-,-,-,19.61%
