Item,2017,2018,2019,2020,2021
Sales/Revenue,17.18B,22.88B,23.84B,20.71B,20.5B
Sales Growth,-,33.17%,4.20%,-13.14%,-0.98%
Cost of Goods Sold (COGS) incl. D&A,13.64B,18.19B,18.72B,16.97B,15.96B
COGS Growth,-,33.35%,2.88%,-9.31%,-5.97%
COGS excluding D&A,12.54B,16.71B,17.3B,15.66B,14.85B
Depreciation & Amortization Expense,1.1B,1.49B,1.42B,1.32B,1.11B
Depreciation,716M,1.03B,1.05B,1.01B,852M
Amortization of Intangibles,387M,455M,365M,308M,253M
Gross Income,3.54B,4.69B,5.12B,3.73B,4.54B
Gross Income Growth,-,32.49%,9.33%,-27.13%,21.73%
Gross Profit Margin,-,-,-,-,22.16%
SG&A Expense,3.04B,3.4B,3.5B,3.06B,2.96B
SGA Growth,-,11.96%,2.88%,-12.47%,-3.23%
Research & Development,501M,700M,687M,595M,492M
Other SG&A,2.54B,2.7B,2.81B,2.47B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,740M,586M,550M,15.23B,1.24B
EBIT after Unusual Expense,(740M),701M,1.08B,(14.55B),346M
Non Operating Income/Expense,35M,202M,(86M),(385M),381M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),(11M),(139M),-,-,-
Interest Expense,131M,223M,237M,264M,299M
Interest Expense Growth,-,70.23%,6.28%,11.39%,13.26%
Gross Interest Expense,131M,223M,237M,264M,299M
Interest Capitalized,-,-,-,-,-
Pretax Income,(346M),541M,753M,(15.2B),428M
Pretax Income Growth,-,256.36%,39.19%,"-2,118.86%",102.82%
Pretax Margin,-,-,-,-,2.09%
Income Tax,45M,258M,482M,559M,758M
Income Tax - Current Domestic,(33M),35M,(12M),(59M),11M
Income Tax - Current Foreign,411M,472M,443M,458M,614M
Income Tax - Deferred Domestic,(266M),(24M),(12M),11M,(24M)
Income Tax - Deferred Foreign,(67M),(225M),63M,149M,157M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(42M),-,-,-,-
Consolidated Net Income,(433M),283M,271M,(15.76B),(330M)
Minority Interest Expense,(330M),88M,143M,(5.82B),(111M)
Net Income,(103M),195M,128M,(9.94B),(219M)
Net Income Growth,-,289.32%,-34.36%,"-7,865.63%",97.80%
Net Margin Growth,-,-,-,-,-1.07%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,(103M),195M,128M,(9.94B),(219M)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(103M),195M,128M,(9.94B),(219M)
EPS (Basic),(0.24),0.46,0.23,(14.73),(0.27)
EPS (Basic) Growth,-,291.67%,-49.87%,"-6,485.91%",98.20%
Basic Shares Outstanding,427M,427M,555M,675M,824M
EPS (Diluted),(0.24),0.45,0.23,(14.73),(0.27)
EPS (Diluted) Growth,-,287.50%,-48.93%,"-6,508.14%",98.20%
Diluted Shares Outstanding,427M,429M,557M,675M,824M
EBITDA,1.6B,2.77B,3.04B,1.99B,2.69B
EBITDA Growth,-,72.88%,9.77%,-34.66%,35.09%
EBITDA Margin,-,-,-,-,13.11%
