Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,307M,1.22B,815M,309M,747M
Net Income Growth,-,298.05%,-33.31%,-62.09%,141.75%
"Depreciation, Depletion & Amortization",447M,437M,416M,391M,390M
Depreciation and Depletion,-,-,-,-,-
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,346M,49M,89M,(7M),23M
Deferred Taxes,346M,49M,89M,(7M),23M
Investment Tax Credit,-,-,-,-,-
Other Funds,109M,(296M),92M,194M,83M
Funds from Operations,1.21B,1.41B,1.41B,887M,1.24B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(273M),(305M),(398M),(119M),355M
Receivables,(169M),72M,144M,60M,73M
Accounts Payable,(156M),(63M),280M,(613M),13M
Other Assets/Liabilities,(325M),(99M),(447M),62M,213M
Net Operating Cash Flow,936M,1.11B,1.01B,768M,1.6B
Net Operating Cash Flow Growth,-,18.27%,-8.40%,-24.26%,108.07%
Net Operating Cash Flow / Sales,6.59%,7.92%,7.44%,6.59%,12.91%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(423M),(369M),(339M),(317M),(375M)
Capital Expenditures Growth,-,12.77%,8.13%,6.49%,-18.30%
Capital Expenditures / Sales,-2.98%,-2.64%,-2.49%,-2.72%,-3.03%
Capital Expenditures (Fixed Assets),(423M),(369M),(339M),(317M),(375M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(331M),(23M),(2M),(15M),-
Sale of Fixed Assets & Businesses,-,807M,-,33M,41M
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(645M),620M,(266M),(248M),(281M)
Net Investing Cash Flow Growth,-,196.12%,-142.90%,6.77%,-13.31%
Net Investing Cash Flow / Sales,-4.54%,4.44%,-1.95%,-2.13%,-2.27%
