Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,3.94B,4.77B,(12.39B),280M,1.32B
Net Income Growth,-,21.14%,-359.81%,102.26%,370.71%
"Depreciation, Depletion & Amortization",2.33B,2.58B,2.31B,2B,2.11B
Depreciation and Depletion,2.31B,2.57B,2.3B,1.99B,2.1B
Amortization of Intangible Assets,17M,11M,10M,10M,9M
Deferred Taxes & Investment Tax Credit,1.36B,1.47B,(3.11B),115M,591M
Deferred Taxes,1.36B,1.47B,(3.11B),115M,591M
Investment Tax Credit,-,-,-,-,-
Other Funds,(790M),(922M),7.44B,(1.7B),395M
Funds from Operations,6.84B,7.9B,(5.74B),697M,4.41B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,176M,526M,1.95B,2.57B,1.95B
Receivables,108M,(775M),1.17B,(981M),(728M)
Accounts Payable,(418M),144M,-,-,-
Other Assets/Liabilities,162M,1.3B,427M,3.87B,2.84B
Net Operating Cash Flow,7.01B,8.43B,(3.79B),3.26B,6.36B
Net Operating Cash Flow Growth,-,20.12%,-145.02%,186.05%,94.94%
Net Operating Cash Flow / Sales,15.78%,17.92%,-22.19%,10.92%,12.58%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(5.17B),(4.94B),(1.9B),(3.25B),(6.37B)
Capital Expenditures Growth,-,4.49%,61.53%,-70.98%,-96.06%
Capital Expenditures / Sales,-11.63%,-10.50%,-11.11%,-10.86%,-12.59%
Capital Expenditures (Fixed Assets),(5.17B),(4.94B),(1.9B),(3.25B),(6.37B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,-,-,465M,-,-
Purchase/Sale of Investments,621M,315M,(7.89B),2.38B,(770M)
Purchase of Investments,(145M),(170M),(15.5B),(12.66B),(3.57B)
Sale/Maturity of Investments,766M,485M,7.61B,15.04B,2.8B
Other Uses,-,-,-,(32M),-
Other Sources,65M,-,364M,80M,-
Net Investing Cash Flow,(4.39B),(4.56B),(9.24B),(898M),(6.92B)
Net Investing Cash Flow Growth,-,-3.87%,-102.45%,90.28%,-671.05%
Net Investing Cash Flow / Sales,-9.89%,-9.71%,-54.04%,-3.00%,-13.69%
