Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,1.45B,2.2B,2.4B,1.84B,1.96B
Net Income Growth,-,52.04%,9.06%,-23.04%,6.34%
"Depreciation, Depletion & Amortization",882M,917M,796M,766M,754M
Depreciation and Depletion,-,-,-,757M,739M
Amortization of Intangible Assets,-,-,-,9M,15M
Deferred Taxes & Investment Tax Credit,2M,29M,45M,(70M),(57M)
Deferred Taxes,2M,29M,45M,(70M),(57M)
Investment Tax Credit,-,-,-,-,-
Other Funds,160M,(90M),174M,140M,82M
Funds from Operations,2.49B,3.05B,3.41B,2.68B,2.74B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,481M,(317M),318M,50M,(7M)
Receivables,33M,(116M),95M,(37M),(151M)
Accounts Payable,392M,(153M),239M,627M,109M
Other Assets/Liabilities,4M,(77M),(94M),5M,(1M)
Net Operating Cash Flow,2.97B,2.74B,3.73B,2.73B,2.73B
Net Operating Cash Flow Growth,-,-7.88%,36.29%,-26.79%,0.11%
Net Operating Cash Flow / Sales,16.07%,14.83%,19.48%,14.04%,13.55%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(877M),(1.21B),(1.22B),(1.01B),(876M)
Capital Expenditures Growth,-,-37.86%,-0.66%,17.26%,13.01%
Capital Expenditures / Sales,-4.74%,-6.55%,-6.36%,-5.18%,-4.34%
Capital Expenditures (Fixed Assets),(877M),(1.21B),(1.22B),(1.01B),(876M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,(1.08B),-,(46M)
Sale of Fixed Assets & Businesses,51M,242M,31M,43M,12M
Purchase/Sale of Investments,(81M),(26M),(63M),(82M),139M
Purchase of Investments,(353M),(568M),(753M),(918M),(658M)
Sale/Maturity of Investments,272M,542M,690M,836M,797M
Other Uses,-,(49M),-,(10M),(14M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(902M),(1.04B),(2.31B),(1.06B),(785M)
Net Investing Cash Flow Growth,-,-15.52%,-121.21%,54.19%,25.66%
Net Investing Cash Flow / Sales,-4.88%,-5.65%,-12.04%,-5.43%,-3.89%
