Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,5.46B,5.36B,89M,6.2B,4.57B
Net Income Growth,-,-1.76%,-98.34%,"6,867.42%",-26.37%
"Depreciation, Depletion & Amortization",1.43B,1.4B,1.48B,2.05B,2.1B
Depreciation and Depletion,226M,255M,288M,329M,323M
Amortization of Intangible Assets,1.2B,1.15B,1.19B,1.72B,1.78B
Deferred Taxes & Investment Tax Credit,289M,(2.1B),(214M),(116M),(1.55B)
Deferred Taxes,289M,(2.1B),(214M),(116M),(1.55B)
Investment Tax Credit,-,-,-,-,-
Other Funds,2.16B,5.27B,8.45B,2.76B,5.72B
Funds from Operations,9.34B,9.94B,9.81B,10.9B,10.84B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(939M),(798M),(1.64B),489M,(1.76B)
Receivables,480M,(218M),(1.17B),313M,(406M)
Accounts Payable,(39M),(61M),80M,(118M),226M
Other Assets/Liabilities,903M,(307M),(214M),(42M),70M
Net Operating Cash Flow,8.4B,9.14B,8.17B,11.38B,9.07B
Net Operating Cash Flow Growth,-,8.86%,-10.67%,39.37%,-20.31%
Net Operating Cash Flow / Sales,37.81%,40.96%,33.15%,41.59%,33.49%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(924M),(825M),(650M),(579M),(728M)
Capital Expenditures Growth,-,10.71%,21.21%,10.92%,-25.73%
Capital Expenditures / Sales,-4.16%,-3.70%,-2.64%,-2.12%,-2.69%
Capital Expenditures (Fixed Assets),(924M),(825M),(650M),(579M),(728M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,(25.74B),(1.4B),(1.8B)
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,15.28B,(2.31B),11.95B,(987M),60M
Purchase of Investments,(10.58B),(32.23B),(20.77B),(3.9B),(1.94B)
Sale/Maturity of Investments,25.86B,29.92B,32.72B,2.91B,2B
Other Uses,-,(4.69B),(171M),(163M),(1M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,14.36B,(7.82B),(14.62B),(3.13B),(2.47B)
Net Investing Cash Flow Growth,-,-154.45%,-86.96%,78.58%,21.24%
Net Investing Cash Flow / Sales,64.62%,-35.02%,-59.31%,-11.44%,-9.10%
