Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,1.35B,912M,1.08B,1.28B,439M
Net Income Growth,-,-32.34%,18.31%,18.91%,-65.78%
"Depreciation, Depletion & Amortization",994M,1.15B,1.23B,1.6B,1.32B
Depreciation and Depletion,1.14B,1.22B,1.27B,-,-
Amortization of Intangible Assets,(142M),(71M),(46M),-,-
Deferred Taxes & Investment Tax Credit,485M,252M,113M,297M,989M
Deferred Taxes,485M,252M,113M,297M,989M
Investment Tax Credit,-,-,-,-,-
Other Funds,(1.35B),105M,(871M),(773M),(371M)
Funds from Operations,1.48B,2.42B,1.55B,2.41B,2.37B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(156M),49M,(126M),403M,309M
Receivables,(248M),271M,(129M),160M,(292M)
Accounts Payable,109M,(49M),(138M),117M,560M
Other Assets/Liabilities,(78M),(94M),(116M),98M,209M
Net Operating Cash Flow,1.32B,2.47B,1.42B,2.81B,2.68B
Net Operating Cash Flow Growth,-,86.61%,-42.32%,97.54%,-4.55%
Net Operating Cash Flow / Sales,11.74%,22.36%,13.19%,25.25%,21.53%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(2.68B),(2.67B),(2.66B),(2.45B),(2.76B)
Capital Expenditures Growth,-,0.37%,0.30%,7.98%,-12.72%
Capital Expenditures / Sales,-23.75%,-24.15%,-24.62%,-21.96%,-22.12%
Capital Expenditures (Fixed Assets),(2.68B),(2.67B),(2.66B),(2.45B),(2.76B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,(21M)
Sale of Fixed Assets & Businesses,425M,47M,2M,155M,2.36B
Purchase/Sale of Investments,(54M),(38M),(22M),(11M),(11M)
Purchase of Investments,(963M),(1.68B),(208M),(59M),(59M)
Sale/Maturity of Investments,909M,1.64B,186M,48M,48M
Other Uses,(718M),(217M),(231M),(258M),(309M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(3.02B),(2.87B),(2.91B),(2.56B),(740M)
Net Investing Cash Flow Growth,-,4.80%,-1.22%,12.00%,71.08%
Net Investing Cash Flow / Sales,-26.80%,-26.04%,-26.95%,-22.99%,-5.94%
