Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,440M,(700M),(403M),203M,559M
Net Income Growth,-,-259.09%,42.43%,150.37%,175.37%
"Depreciation, Depletion & Amortization",640M,675M,756M,864M,548M
Depreciation and Depletion,186M,185M,176M,-,-
Amortization of Intangible Assets,454M,490M,580M,-,-
Deferred Taxes & Investment Tax Credit,162M,(514M),5M,(69M),(116M)
Deferred Taxes,162M,(514M),5M,(69M),(116M)
Investment Tax Credit,-,-,-,-,-
Other Funds,27M,1.47B,1.23B,64M,(1M)
Funds from Operations,1.27B,926M,1.59B,1.06B,990M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,41M,132M,(525M),(63M),(324M)
Receivables,10M,95M,4M,(28M),(66M)
Accounts Payable,-,-,-,(38M),(184M)
Other Assets/Liabilities,15M,(103M),(51M),43M,(67M)
Net Operating Cash Flow,1.31B,1.06B,1.07B,999M,666M
Net Operating Cash Flow Growth,-,-19.24%,0.76%,-6.29%,-33.33%
Net Operating Cash Flow / Sales,19.93%,16.24%,16.41%,29.72%,19.03%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(489M),(520M),(519M),(519M),(341M)
Capital Expenditures Growth,-,-6.34%,0.19%,0.00%,34.30%
Capital Expenditures / Sales,-7.44%,-7.98%,-7.99%,-15.44%,-9.74%
Capital Expenditures (Fixed Assets),(119M),(106M),(116M),(86M),(81M)
Capital Expenditures (Other Assets),(370M),(414M),(403M),(433M),(260M)
Net Assets from Acquisitions,(778M),(43M),(61M),(30M),(20M)
Sale of Fixed Assets & Businesses,44M,55M,17M,13M,2.27B
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,(13M),-,(19M),(1M),-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(1.24B),(506M),(582M),(537M),1.93B
Net Investing Cash Flow Growth,-,59.06%,-15.02%,7.73%,459.96%
Net Investing Cash Flow / Sales,-18.81%,-7.77%,-8.96%,-15.98%,55.23%
