Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,477.4M,933.4M,702.7M,747.4M,755.3M
Net Income Growth,-,95.52%,-24.72%,6.36%,1.06%
"Depreciation, Depletion & Amortization",125.2M,150.7M,158.8M,165M,186.3M
Depreciation and Depletion,108.9M,130.1M,138.5M,144.8M,150.7M
Amortization of Intangible Assets,16.3M,20.6M,20.3M,20.2M,35.6M
Deferred Taxes & Investment Tax Credit,24.1M,40.1M,20.9M,(11.2M),36M
Deferred Taxes,24.1M,40.1M,20.9M,(11.2M),36M
Investment Tax Credit,-,-,-,-,-
Other Funds,52M,(293.8M),26.4M,37.5M,73.5M
Funds from Operations,678.7M,830.4M,908.8M,938.7M,1.05B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,136.6M,(9.2M),38M,102.6M,(222.8M)
Receivables,(13M),19.8M,12.2M,4.8M,(22.6M)
Accounts Payable,98.2M,72.8M,128.2M,164.2M,34.9M
Other Assets/Liabilities,6.8M,(91.8M),(81.5M),133.8M,(81.4M)
Net Operating Cash Flow,815.3M,821.2M,946.8M,1.04B,828.3M
Net Operating Cash Flow Growth,-,0.72%,15.29%,9.98%,-20.46%
Net Operating Cash Flow / Sales,16.87%,15.49%,17.71%,18.59%,13.11%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(182.4M),(169.1M),(173.7M),(225.3M),(278M)
Capital Expenditures Growth,-,7.29%,-2.72%,-29.71%,-23.39%
Capital Expenditures / Sales,-3.77%,-3.19%,-3.25%,-4.02%,-4.40%
Capital Expenditures (Fixed Assets),(182.4M),(169.1M),(173.7M),(225.3M),(278M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(4.33B),(17.2M),-,(803M),(706.4M)
Sale of Fixed Assets & Businesses,1.1M,-,-,-,65.4M
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(4.51B),(171.5M),(171M),(1.03B),(908.6M)
Net Investing Cash Flow Growth,-,96.20%,0.29%,-499.77%,11.41%
Net Investing Cash Flow / Sales,-93.29%,-3.23%,-3.20%,-18.31%,-14.38%
