Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,2.32B,3.46B,21.4M,2.03B,1M
Net Income Growth,-,49.40%,-99.38%,"9,394.39%",-99.95%
"Depreciation, Depletion & Amortization",386.5M,447.1M,431.5M,388.4M,424.3M
Depreciation and Depletion,293.8M,333.1M,414.8M,377.1M,419.2M
Amortization of Intangible Assets,92.7M,114M,16.7M,11.3M,5.1M
Deferred Taxes & Investment Tax Credit,113.8M,426.9M,(1.15B),336.4M,84.8M
Deferred Taxes,113.8M,426.9M,(1.15B),336.4M,84.8M
Investment Tax Credit,-,-,-,-,-
Other Funds,(586.9M),(2.02B),3.26B,(35M),2.4B
Funds from Operations,2.23B,2.32B,2.56B,2.72B,2.91B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(297.3M),(71.7M),(10M),84.9M,(209M)
Receivables,(34.1M),(71.9M),(22M),59.6M,(114M)
Accounts Payable,12.8M,21.4M,16.8M,(95.7M),213.7M
Other Assets/Liabilities,(85.4M),62.8M,83.2M,2.3M,(18.6M)
Net Operating Cash Flow,1.93B,2.25B,2.55B,2.81B,2.71B
Net Operating Cash Flow Growth,-,16.30%,13.57%,10.01%,-3.60%
Net Operating Cash Flow / Sales,25.47%,27.68%,30.58%,32.58%,30.67%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(1.06B),(886.3M),(726.5M),(864.6M),(1.03B)
Capital Expenditures Growth,-,16.20%,18.03%,-19.01%,-18.76%
Capital Expenditures / Sales,-13.95%,-10.92%,-8.71%,-10.04%,-11.64%
Capital Expenditures (Fixed Assets),(1.06B),(886.3M),(726.5M),(864.6M),(1.03B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(155.1M),(45.6M),(36.2M),(19.9M),(53.5M)
Sale of Fixed Assets & Businesses,5.9M,72.3M,278M,1.02B,8.7M
Purchase/Sale of Investments,(210.9M),(3.97B),(46.7M),(222.4M),37.8M
Purchase of Investments,(210.9M),(4.08B),(48.2M),(222.4M),(36.6M)
Sale/Maturity of Investments,-,110.2M,1.5M,-,74.4M
Other Uses,(5.4M),(900K),-,-,(2M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(1.42B),(4.83B),(531M),(87.9M),(1.04B)
Net Investing Cash Flow Growth,-,-239.53%,89.01%,83.45%,"-1,078.38%"
Net Investing Cash Flow / Sales,-18.77%,-59.54%,-6.36%,-1.02%,-11.74%
