Item,2017,2018,2019,2020,2021
Funds from Operations,5.56B,5.06B,5.64B,5.33B,5.64B
Funds from Operations Growth,-,-8.89%,11.32%,-5.38%,5.80%
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(889M),934M,(5.54B),(294M),(2.8B)
Net Operating Cash Flow,4.67B,6B,96M,5.04B,2.84B
Net Operating Cash Flow Growth,-,28.48%,-98.40%,"5,147.92%",-43.67%
Net Operating Cash Flow / Interest Income,106.50%,93.22%,1.27%,122.61%,99.75%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(1.2B),(1.11B),(1.21B),(1.22B),(1.22B)
Capital Expenditures (Fixed Assets),(1.2B),(1.11B),(1.21B),(1.22B),(1.22B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,(170M)
Sale of Fixed Assets & Businesses,-,107M,-,-,42M
Purchase/Sale of Investments,(7.05B),(20.37B),16.09B,(31B),(5B)
Purchase of Investments,(36.94B),(56.12B),(55.26B),(98.79B),(63.16B)
Sale/Maturity of Investments,29.89B,35.75B,71.34B,67.79B,58.16B
Increase in Loans,(29.61B),(2.01B),(27.73B),(45.52B),(11.35B)
Decrease in Loans,4.99B,26.57B,1.49B,-,36.3B
Other Uses,(231M),(153M),-,(728M),-
Other Sources,392M,263M,823M,15M,1.07B
Net Investing Cash Flow,(32.71B),3.3B,(10.55B),(78.46B),19.67B
Net Investing Cash Flow Growth,-,110.09%,-419.73%,-643.79%,125.07%
Net Investing Cash Flow / Interest Income,-746.35%,51.29%,-139.75%,"-1,909.35%",691.46%
