Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,125.59M,227.22M,258.15M,365.31M,398.84M
Net Income Growth,-,80.93%,13.61%,41.51%,9.18%
"Depreciation, Depletion & Amortization",131.16M,161.78M,198.1M,234.92M,265.54M
Depreciation and Depletion,89.79M,96.95M,108.56M,123.05M,140.68M
Amortization of Intangible Assets,41.37M,64.83M,89.54M,111.88M,124.86M
Deferred Taxes & Investment Tax Credit,28.25M,(9.7M),(21.9M),(133K),(24.01M)
Deferred Taxes,28.25M,(9.7M),(21.9M),(133K),(24.01M)
Investment Tax Credit,-,-,-,-,-
Other Funds,27.13M,47.03M,44.5M,(27.25M),77.49M
Funds from Operations,312.13M,426.33M,474.76M,572.85M,717.86M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,5.94M,14.81M,6.18M,(26.28M),42.94M
Receivables,(48.28M),(21.2M),(8.32M),(85.63M),(26.63M)
Accounts Payable,34K,(12.73M),29.78M,748K,44.9M
Other Assets/Liabilities,68.36M,30.46M,2.73M,36.5M,5.53M
Net Operating Cash Flow,318.07M,441.14M,480.94M,546.58M,760.8M
Net Operating Cash Flow Growth,-,38.69%,9.02%,13.65%,39.19%
Net Operating Cash Flow / Sales,17.12%,19.47%,18.35%,18.69%,21.49%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(82.43M),(140.05M),(140.51M),(166.56M),(228.77M)
Capital Expenditures Growth,-,-69.90%,-0.33%,-18.54%,-37.35%
Capital Expenditures / Sales,-4.44%,-6.18%,-5.36%,-5.70%,-6.46%
Capital Expenditures (Fixed Assets),(82.43M),(140.05M),(140.51M),(166.56M),(228.77M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(25.01M),(824.87M),(515.7M),(418.63M),(1.29B)
Sale of Fixed Assets & Businesses,72.46M,-,-,-,122.69M
Purchase/Sale of Investments,(37.09M),10.72M,(21.4M),(15.29M),(39.02M)
Purchase of Investments,(46.22M),(25.13M),(22.34M),(26.69M),(45.56M)
Sale/Maturity of Investments,9.13M,35.85M,942K,11.4M,6.53M
Other Uses,(2.33M),(4.54M),(3.89M),(1.07M),-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(74.4M),(958.74M),(681.5M),(601.54M),(1.44B)
Net Investing Cash Flow Growth,-,"-1,188.71%",28.92%,11.73%,-139.04%
Net Investing Cash Flow / Sales,-4.00%,-42.31%,-26.00%,-20.57%,-40.62%
