Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,159.56M,241.22M,252.31M,347.22M,556.57M
Net Income Growth,-,51.18%,4.60%,37.62%,60.29%
"Depreciation, Depletion & Amortization",51.99M,47.41M,60.91M,68.77M,92.04M
Depreciation and Depletion,23.13M,25.3M,32.27M,36.49M,42.16M
Amortization of Intangible Assets,28.86M,22.11M,28.64M,32.28M,49.89M
Deferred Taxes & Investment Tax Credit,19.5M,23.6M,18.73M,21.2M,(2.1M)
Deferred Taxes,19.5M,23.6M,18.73M,21.2M,(2.1M)
Investment Tax Credit,-,-,-,-,-
Other Funds,14.13M,23.12M,34.34M,30.63M,23.19M
Funds from Operations,245.18M,335.35M,366.29M,467.81M,669.7M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,12.14M,(88.12M),(57.4M),18.72M,(258.55M)
Receivables,(32.86M),(43.24M),8.23M,(55.98M),(131.86M)
Accounts Payable,42.79M,86.36M,(69.4M),66.04M,297.32M
Other Assets/Liabilities,(17.94M),(8.24M),(2.62M),5.89M,(32.63M)
Net Operating Cash Flow,257.32M,247.23M,308.89M,486.53M,411.16M
Net Operating Cash Flow Growth,-,-3.92%,24.94%,57.51%,-15.49%
Net Operating Cash Flow / Sales,15.32%,12.22%,14.01%,19.58%,11.00%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(33.26M),(47.6M),(60.8M),(62.13M),(109.99M)
Capital Expenditures Growth,-,-43.11%,-27.73%,-2.18%,-77.04%
Capital Expenditures / Sales,-1.98%,-2.35%,-2.76%,-2.50%,-2.94%
Capital Expenditures (Fixed Assets),(33.26M),(47.6M),(60.8M),(62.13M),(109.99M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,(65.44M),(112M),(64.8M),(740.64M)
Sale of Fixed Assets & Businesses,1.34M,214K,95K,179K,259K
Purchase/Sale of Investments,-,-,-,-,1.31M
Purchase of Investments,-,-,-,-,(3.66M)
Sale/Maturity of Investments,-,-,-,-,4.97M
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(28.13M),(108.89M),(170.08M),(124.1M),(844.45M)
Net Investing Cash Flow Growth,-,-287.14%,-56.19%,27.04%,-580.49%
Net Investing Cash Flow / Sales,-1.67%,-5.38%,-7.72%,-4.99%,-22.60%
