Item,2019,2020,2021,2022,2023
Net Income before Extraordinaries,(80.8M),214.5M,1.21B,497M,823M
Net Income Growth,-,365.47%,463.26%,-58.86%,65.59%
"Depreciation, Depletion & Amortization",95.2M,127.3M,123.8M,148.1M,150M
Depreciation and Depletion,61.7M,53.9M,55.4M,54.6M,-
Amortization of Intangible Assets,33.5M,73.4M,68.4M,93.5M,-
Deferred Taxes & Investment Tax Credit,(6.8M),10.3M,(778.6M),(7.8M),(277M)
Deferred Taxes,(6.8M),10.3M,(778.6M),(7.8M),(277M)
Investment Tax Credit,-,-,-,-,-
Other Funds,283.4M,351M,437.2M,676.7M,683M
Funds from Operations,291M,703.1M,990.6M,1.31B,1.38B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,86.1M,712M,446.6M,217.3M,692M
Receivables,(25.4M),(178.5M),12.6M,(66.2M),(247M)
Accounts Payable,(58.5M),(90.8M),129.6M,9.9M,(5M)
Other Assets/Liabilities,204.5M,975.2M,288M,285.9M,795M
Net Operating Cash Flow,377.1M,1.42B,1.44B,1.53B,2.07B
Net Operating Cash Flow Growth,-,275.26%,1.56%,6.55%,35.24%
Net Operating Cash Flow / Sales,14.63%,43.45%,37.91%,34.82%,41.88%
Item,2019,2020,2021,2022,2023
Capital Expenditures,(67M),(53.2M),(95.9M),(66.5M),(46M)
Capital Expenditures Growth,-,20.60%,-80.26%,30.66%,30.83%
Capital Expenditures / Sales,-2.60%,-1.63%,-2.53%,-1.51%,-0.93%
Capital Expenditures (Fixed Assets),(67M),(53.2M),(91.1M),(56M),(40M)
Capital Expenditures (Other Assets),-,-,(4.8M),(10.5M),(6M)
Net Assets from Acquisitions,(1.04B),-,(246.2M),(1.25B),(96M)
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,392.8M,7.5M,(4M),(273.3M),53M
Purchase of Investments,(138.2M),(19.9M),(21M),(311.1M),(397M)
Sale/Maturity of Investments,531M,27.4M,17M,37.8M,450M
Other Uses,-,(11.6M),(57.8M),(4.5M),(54M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(710.4M),(57.3M),(403.9M),(1.59B),(143M)
Net Investing Cash Flow Growth,-,91.93%,-604.89%,-294.80%,91.03%
Net Investing Cash Flow / Sales,-27.55%,-1.76%,-10.66%,-36.25%,-2.89%
