Item,2017,2018,2019,2020,2021
Funds from Operations,519.9M,468.7M,800.8M,1.16B,1.03B
Funds from Operations Growth,-,-9.85%,70.86%,45.15%,-11.48%
Extraordinaries,-,-,-,-,-
Net Operating Cash Flow,530.4M,656.7M,1.41B,1.34B,781.7M
Net Operating Cash Flow Growth,-,23.81%,115.23%,-5.05%,-41.75%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(62.1M),(82.8M),(110.3M),(121.2M),(187.4M)
Capital Expenditures Growth,-,-33.33%,-33.21%,-9.88%,-54.62%
Capital Expenditures (Fixed Assets),(62.1M),(82.8M),(110.3M),(121.2M),(187.4M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(129.1M),(1.11B),(7.6M),(458.6M),(16.6M)
Sale of Fixed Assets & Businesses,37.1M,69.9M,3.3M,-,1.32B
Purchase/Sale of Investments,(380.9M),(1.07B),(509.7M),108.8M,(812M)
Purchase of Investments,(4.5B),(6.53B),(4.58B),(1.99B),(3.34B)
Sale/Maturity of Investments,4.12B,5.46B,4.07B,2.1B,2.52B
Increase in Loans,-,-,-,-,-
Decrease in Loans,-,-,-,-,-
Other Uses,-,-,-,(289.1M),(145.2M)
Other Sources,4.7M,2.5M,4.5M,24.9M,3.2M
Net Investing Cash Flow,(530.3M),(2.19B),(619.8M),(735.2M),157.6M
Net Investing Cash Flow Growth,-,-313.60%,71.74%,-18.62%,121.44%
