Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,368M,791M,(773M),1.49B,1.06B
Net Income Growth,-,114.95%,-197.72%,292.24%,-28.87%
"Depreciation, Depletion & Amortization",1.24B,1.25B,1.19B,1.32B,1.29B
Depreciation and Depletion,626M,1.24B,1.18B,1.31B,1.28B
Amortization of Intangible Assets,617M,9M,8M,7M,7M
Deferred Taxes & Investment Tax Credit,48M,69M,(429M),213M,20M
Deferred Taxes,48M,69M,(429M),213M,20M
Investment Tax Credit,-,-,-,-,-
Other Funds,225M,117M,1.91B,(804M),(436M)
Funds from Operations,1.88B,2.23B,1.89B,2.21B,1.93B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,282M,(546M),182M,(2.19B),(119M)
Receivables,(154M),120M,90M,(98M),(461M)
Accounts Payable,220M,(455M),2M,175M,203M
Other Assets/Liabilities,175M,(213M),57M,(2.21B),417M
Net Operating Cash Flow,2.17B,1.68B,2.08B,22M,1.81B
Net Operating Cash Flow Growth,-,-22.44%,23.51%,-98.94%,"8,127.27%"
Net Operating Cash Flow / Sales,20.66%,22.88%,27.97%,0.26%,19.42%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(1.65B),(2.51B),(2.6B),(3.16B),(4.42B)
Capital Expenditures Growth,-,-51.79%,-3.59%,-21.88%,-39.66%
Capital Expenditures / Sales,-15.74%,-34.13%,-35.00%,-37.88%,-47.41%
Capital Expenditures (Fixed Assets),(1.65B),(2.51B),(2.6B),(3.16B),(4.42B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,(5.99B),-,-,-
Sale of Fixed Assets & Businesses,-,5M,1.22B,22M,2.08B
Purchase/Sale of Investments,398M,(6M),-,1.32B,702M
Purchase of Investments,-,(6M),-,-,-
Sale/Maturity of Investments,398M,-,-,1.32B,702M
Other Uses,-,-,-,(49M),-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(1.24B),(8.46B),(1.35B),(1.85B),(1.63B)
Net Investing Cash Flow Growth,-,-584.16%,84.11%,-37.62%,12.05%
Net Investing Cash Flow / Sales,-11.80%,-115.27%,-18.13%,-22.16%,-17.47%
