Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,9.37B,12.13B,10.9B,(2.44B),2.54B
Net Income Growth,-,29.51%,-10.16%,-122.41%,203.85%
"Depreciation, Depletion & Amortization",2.78B,3.01B,4.17B,5.35B,5.11B
Depreciation and Depletion,2.59B,2.76B,2.84B,3.14B,3.07B
Amortization of Intangible Assets,196M,253M,1.32B,2.21B,2.04B
Deferred Taxes & Investment Tax Credit,334M,(1.57B),117M,(392M),(1.24B)
Deferred Taxes,334M,(1.57B),117M,(392M),(1.24B)
Investment Tax Credit,-,-,-,-,-
Other Funds,(29M),1.56B,(3.55B),5.75B,(3.03B)
Funds from Operations,12.45B,15.13B,11.63B,8.26B,3.37B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(110M),(837M),(5.64B),(645M),2.19B
Receivables,107M,(720M),55M,1.94B,(357M)
Accounts Payable,(368M),235M,191M,(2.29B),2.41B
Other Assets/Liabilities,(52M),(927M),932M,(157M),171M
Net Operating Cash Flow,12.34B,14.3B,5.98B,7.62B,5.57B
Net Operating Cash Flow Growth,-,15.81%,-58.14%,27.27%,-26.92%
Net Operating Cash Flow / Sales,22.47%,24.04%,8.62%,11.69%,8.26%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(3.62B),(4.47B),(4.88B),(4.02B),(3.58B)
Capital Expenditures Growth,-,-23.24%,-9.20%,17.51%,11.04%
Capital Expenditures / Sales,-6.59%,-7.51%,-7.02%,-6.18%,-5.31%
Capital Expenditures (Fixed Assets),(3.62B),(4.47B),(4.88B),(4.02B),(3.58B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(417M),(1.58B),(11.33B),-,(350M)
Sale of Fixed Assets & Businesses,17M,399M,737M,94M,91M
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,(71M),-,(319M),-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(4.09B),(4.94B),(4.82B),(3.54B),(3.42B)
Net Investing Cash Flow Growth,-,-20.59%,2.47%,26.46%,3.39%
Net Investing Cash Flow / Sales,-7.45%,-8.30%,-6.94%,-5.44%,-5.08%
