Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,1.55B,6.77B,6.14B,4.78B,5.54B
Net Income Growth,-,337.86%,-9.19%,-22.20%,15.97%
"Depreciation, Depletion & Amortization",1.12B,1.12B,1.09B,1B,1.22B
Depreciation and Depletion,717M,721M,673M,644M,674M
Amortization of Intangible Assets,398M,395M,415M,358M,549M
Deferred Taxes & Investment Tax Credit,2.45B,(586M),179M,(175M),178M
Deferred Taxes,2.45B,(586M),179M,(175M),178M
Investment Tax Credit,-,-,-,-,-
Other Funds,1.42B,(1.15B),(557M),(761M),(1.19B)
Funds from Operations,6.53B,6.15B,6.85B,4.85B,5.75B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(563M),286M,44M,1.36B,288M
Receivables,(682M),(236M),11M,669M,(8M)
Accounts Payable,924M,733M,118M,15M,744M
Other Assets/Liabilities,(568M),218M,(430M),191M,(276M)
Net Operating Cash Flow,5.97B,6.43B,6.9B,6.21B,6.04B
Net Operating Cash Flow Growth,-,7.84%,7.20%,-9.99%,-2.74%
Net Operating Cash Flow / Sales,14.72%,15.39%,18.79%,19.02%,17.56%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(1.03B),(828M),(839M),(906M),(895M)
Capital Expenditures Growth,-,19.69%,-1.33%,-7.99%,1.21%
Capital Expenditures / Sales,-2.54%,-1.98%,-2.29%,-2.78%,-2.60%
Capital Expenditures (Fixed Assets),(1.03B),(828M),(839M),(906M),(895M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(82M),(535M),(50M),(261M),(1.33B)
Sale of Fixed Assets & Businesses,86M,15M,43M,57M,816M
Purchase/Sale of Investments,(2.33B),1.97B,211M,272M,152M
Purchase of Investments,(6.74B),(4.06B),(4.25B),(3.24B),(2.37B)
Sale/Maturity of Investments,4.41B,6.03B,4.46B,3.51B,2.53B
Other Uses,(218M),-,-,(149M),-
Other Sources,-,2.8B,-,-,-
Net Investing Cash Flow,(3.57B),1.03B,(533M),(987M),(1.06B)
Net Investing Cash Flow Growth,-,128.74%,-151.90%,-85.18%,-7.50%
Net Investing Cash Flow / Sales,-8.82%,2.46%,-1.45%,-3.02%,-3.09%
