Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,364M,582M,670M,629M,759M
Net Income Growth,-,59.89%,15.12%,-6.12%,20.67%
"Depreciation, Depletion & Amortization",336M,257M,234M,282M,325M
Depreciation and Depletion,55M,56M,61M,84M,97M
Amortization of Intangible Assets,281M,201M,173M,198M,228M
Deferred Taxes & Investment Tax Credit,-,-,18M,(4M),(26M)
Deferred Taxes,-,-,18M,(4M),(26M)
Investment Tax Credit,-,-,-,-,-
Other Funds,117M,61M,(21M),124M,64M
Funds from Operations,817M,900M,901M,1.03B,1.12B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(295M),(140M),91M,303M,(91M)
Receivables,(191M),(58M),116M,(127M),(5M)
Accounts Payable,152M,(46M),116M,151M,(212M)
Other Assets/Liabilities,(264M),(24M),(112M),118M,158M
Net Operating Cash Flow,522M,760M,992M,1.33B,1.03B
Net Operating Cash Flow Growth,-,45.59%,30.53%,34.48%,-22.71%
Net Operating Cash Flow / Sales,5.13%,7.46%,8.94%,10.85%,7.51%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(81M),(73M),(121M),(183M),(104M)
Capital Expenditures Growth,-,9.88%,-65.75%,-51.24%,43.17%
Capital Expenditures / Sales,-0.80%,-0.72%,-1.09%,-1.49%,-0.76%
Capital Expenditures (Fixed Assets),(81M),(73M),(121M),(183M),(104M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,(89M),(94M),(2.66B),(622M)
Sale of Fixed Assets & Businesses,8M,-,274M,12M,41M
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,-,-,-,-,(4M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(71M),(122M),65M,(2.82B),(689M)
Net Investing Cash Flow Growth,-,-71.83%,153.28%,"-4,430.77%",75.52%
Net Investing Cash Flow / Sales,-0.70%,-1.20%,0.59%,-22.89%,-5.02%
