Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,(468M),1.66B,(1.13B),(2.94B),1.47B
Net Income Growth,-,454.06%,-168.14%,-160.58%,149.90%
"Depreciation, Depletion & Amortization",1.56B,1.61B,1.63B,1.06B,904M
Depreciation and Depletion,-,-,-,-,-
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,734M,(267M),(396M),(444M),(486M)
Deferred Taxes,734M,(267M),(396M),(444M),(486M)
Investment Tax Credit,-,-,-,-,-
Other Funds,757M,265M,2.36B,3.45B,(35M)
Funds from Operations,2.58B,3.26B,2.46B,1.12B,1.85B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(111M),(104M),(17M),760M,60M
Receivables,(1.35B),(186M),636M,1.39B,(500M)
Accounts Payable,753M,483M,(595M),(934M),795M
Other Assets/Liabilities,515M,280M,144M,120M,(225M)
Net Operating Cash Flow,2.47B,3.16B,2.45B,1.88B,1.91B
Net Operating Cash Flow Growth,-,27.92%,-22.55%,-23.07%,1.59%
Net Operating Cash Flow / Sales,11.97%,13.16%,10.91%,13.02%,12.49%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(1.37B),(2.03B),(1.53B),(728M),(799M)
Capital Expenditures Growth,-,-47.56%,24.48%,52.42%,-9.75%
Capital Expenditures / Sales,-6.66%,-8.44%,-6.83%,-5.04%,-5.22%
Capital Expenditures (Fixed Assets),(1.37B),(2.03B),(1.53B),(728M),(799M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(628M),(187M),(33M),-,-
Sale of Fixed Assets & Businesses,158M,218M,190M,286M,257M
Purchase/Sale of Investments,-,104M,-,-,-
Purchase of Investments,-,(423M),-,-,-
Sale/Maturity of Investments,-,527M,-,-,-
Other Uses,(84M),(102M),(72M),(44M),(79M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(1.93B),(1.99B),(1.45B),(486M),(534M)
Net Investing Cash Flow Growth,-,-3.43%,27.50%,66.37%,-9.88%
Net Investing Cash Flow / Sales,-9.35%,-8.31%,-6.45%,-3.36%,-3.49%
