Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,3.06B,2.64B,3.57B,1.08B,3.58B
Net Income Growth,-,-13.71%,35.06%,-69.70%,230.78%
"Depreciation, Depletion & Amortization",3.53B,4.07B,4.55B,4.71B,4.99B
Depreciation and Depletion,-,-,-,-,-
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,1.43B,1.08B,806M,54M,191M
Deferred Taxes,1.43B,1.08B,806M,54M,191M
Investment Tax Credit,-,-,-,-,-
Other Funds,(170M),552M,334M,3.68B,264M
Funds from Operations,7.85B,8.35B,9.08B,9.52B,9.02B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(1.23B),(1.16B),(873M),(531M),(690M)
Receivables,(83M),(345M),78M,(56M),(297M)
Accounts Payable,(204M),479M,(164M),(21M),249M
Other Assets/Liabilities,(1.36B),(1.48B),(441M),(637M),(892M)
Net Operating Cash Flow,6.62B,7.19B,8.21B,8.99B,8.33B
Net Operating Cash Flow Growth,-,8.48%,14.24%,9.50%,-7.29%
Net Operating Cash Flow / Sales,28.11%,29.31%,32.73%,37.66%,33.21%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(8.05B),(9.39B),(11.12B),(9.91B),(9.72B)
Capital Expenditures Growth,-,-16.60%,-18.46%,10.92%,1.94%
Capital Expenditures / Sales,-34.17%,-38.29%,-44.35%,-41.51%,-38.71%
Capital Expenditures (Fixed Assets),(8.05B),(9.39B),(11.12B),(9.91B),(9.72B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(13M),-,-,-,-
Sale of Fixed Assets & Businesses,-,41M,843M,426M,1.58B
Purchase/Sale of Investments,(387M),(431M),(329M),(432M),(76M)
Purchase of Investments,(4.49B),(4.18B),(3.67B),(8.38B),(6.18B)
Sale/Maturity of Investments,4.1B,3.75B,3.34B,7.95B,6.1B
Other Uses,(271M),(418M),(517M),(398M),(1.19B)
Other Sources,1M,29M,-,-,-
Net Investing Cash Flow,(8.44B),(10.06B),(11.11B),(10.31B),(9.4B)
Net Investing Cash Flow Growth,-,-19.17%,-10.48%,7.23%,8.80%
Net Investing Cash Flow / Sales,-35.82%,-41.03%,-44.32%,-43.20%,-37.47%
