Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,2.47B,2.41B,2.43B,3.65B,6.35B
Net Income Growth,-,-2.57%,1.08%,49.90%,74.08%
"Depreciation, Depletion & Amortization",1.24B,1.18B,1.19B,1.78B,2.17B
Depreciation and Depletion,577.8M,562.1M,564.4M,637M,718M
Amortization of Intangible Assets,660.5M,615.6M,625.1M,1.14B,1.45B
Deferred Taxes & Investment Tax Credit,(426.9M),(252.2M),(415.2M),518M,-
Deferred Taxes,(426.9M),(252.2M),(415.2M),518M,-
Investment Tax Credit,-,-,-,-,-
Other Funds,122.7M,517.8M,453M,182M,501M
Funds from Operations,3.4B,3.85B,3.66B,6.12B,9.02B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,73.9M,172.4M,292M,87M,(658M)
Receivables,(161.4M),(54.5M),(156.4M),(264M),(611M)
Accounts Payable,(54.4M),229.6M,18.1M,227M,549M
Other Assets/Liabilities,4.4M,75.9M,47.7M,102M,(4M)
Net Operating Cash Flow,3.48B,4.02B,3.95B,6.21B,8.36B
Net Operating Cash Flow Growth,-,15.65%,-1.75%,57.10%,34.63%
Net Operating Cash Flow / Sales,18.97%,23.59%,22.06%,27.86%,28.38%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(619.6M),(583.5M),(635.5M),(791M),(1.29B)
Capital Expenditures Growth,-,5.83%,-8.91%,-24.47%,-63.59%
Capital Expenditures / Sales,-3.38%,-3.42%,-3.55%,-3.55%,-4.39%
Capital Expenditures (Fixed Assets),(619.6M),(583.5M),(635.5M),(791M),(1.29B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(450.2M),(2.17B),(331.3M),(20.97B),(10.96B)
Sale of Fixed Assets & Businesses,32.6M,6.3M,12.8M,828M,39M
Purchase/Sale of Investments,137.9M,(123.7M),(241M),(329M),(808M)
Purchase of Investments,-,(145.9M),(241M),(342M),(934M)
Sale/Maturity of Investments,137.9M,22.2M,-,13M,126M
Other Uses,(8.5M),(75.5M),(72M),-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(907.8M),(2.95B),(1.24B),(21.24B),(12.99B)
Net Investing Cash Flow Growth,-,-224.90%,58.02%,"-1,615.45%",38.85%
Net Investing Cash Flow / Sales,-4.95%,-17.30%,-6.91%,-95.31%,-44.09%
