Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,(115M),(240M),(2.84B),890M,2.45B
Net Income Growth,-,-108.70%,"-1,082.92%",131.35%,174.94%
"Depreciation, Depletion & Amortization",2.05B,2.17B,2.27B,1.54B,1.76B
Depreciation and Depletion,2.05B,2.17B,2.27B,1.54B,1.76B
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,(120M),17M,(53M),122M,309M
Deferred Taxes,(120M),17M,(53M),122M,309M
Investment Tax Credit,-,-,-,-,-
Other Funds,312M,289M,2.43B,440M,606M
Funds from Operations,2.13B,2.24B,1.8B,2.99B,5.12B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(186M),(595M),(470M),(101M),(1.18B)
Receivables,(138M),(383M),267M,(748M),(301M)
Accounts Payable,88M,4M,(533M),241M,50M
Other Assets/Liabilities,(122M),(216M),(71M),(176M),(463M)
Net Operating Cash Flow,1.94B,1.64B,1.33B,2.89B,3.94B
Net Operating Cash Flow Growth,-,-15.32%,-18.82%,116.80%,36.47%
Net Operating Cash Flow / Sales,31.58%,25.28%,32.35%,37.45%,33.12%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(2.1B),(2.83B),(2.2B),(1.75B),(2.73B)
Capital Expenditures Growth,-,-34.91%,22.34%,20.48%,-55.98%
Capital Expenditures / Sales,-34.15%,-43.56%,-53.33%,-22.64%,-22.88%
Capital Expenditures (Fixed Assets),(2.1B),(2.83B),(2.2B),(1.75B),(2.73B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(211M),(353M),(261M),(664M),(510M)
Sale of Fixed Assets & Businesses,607M,22M,493M,427M,178M
Purchase/Sale of Investments,(67M),(33M),-,-,-
Purchase of Investments,(67M),(33M),-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,(9M),(3M),(3M),(5M),(8M)
Other Sources,28M,11M,-,-,-
Net Investing Cash Flow,(1.78B),(3.2B),(1.97B),(1.99B),(3.07B)
Net Investing Cash Flow Growth,-,-79.85%,38.42%,-1.07%,-54.10%
Net Investing Cash Flow / Sales,-28.94%,-49.21%,-47.77%,-25.78%,-25.74%
