Item,2017,2018,2019,2020,2021
Funds from Operations,1.14B,1.29B,1.87B,1.83B,2.51B
Funds from Operations Growth,-,12.72%,45.60%,-2.19%,36.94%
Changes in Working Capital,(278M),3M,(790M),(56M),(449M)
Receivables,(64M),68M,(261M),72M,(134M)
Inventories,-,-,-,-,-
Accounts Payable,-,-,-,-,-
Other Assets/Liabilities,(214M),(65M),(529M),(128M),(315M)
Net Operating Cash Flow,862M,1.29B,1.08B,1.77B,2.06B
Net Operating Cash Flow Growth,-,49.42%,-16.07%,64.11%,15.95%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(375M),(322M),(305M),(286M),(201M)
Capital Expenditures Growth,-,14.13%,5.28%,6.23%,29.72%
Capital Expenditures (Fixed Assets),(300M),(268M),(246M),(286M),(201M)
Capital Expenditures (Other Assets),(75M),(54M),(59M),-,-
Net Assets from Acquisitions,(13M),(36M),(1.33B),(69M),(47M)
Sale of Fixed Assets & Businesses,57M,4M,17M,237M,4.05B
Purchase/Sale of Investments,-,-,-,-,(200M)
Purchase of Investments,-,-,-,-,(200M)
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,(4M),-,-,(42M),(1.03B)
Other Sources,-,13M,3M,-,-
Net Investing Cash Flow,(335M),(341M),(1.61B),(160M),2.57B
