Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,(1.44B),228M,(1.55B),389M,760M
Net Income Growth,-,115.79%,-777.63%,125.18%,95.37%
"Depreciation, Depletion & Amortization",472M,659M,804M,808M,813M
Depreciation and Depletion,372M,533M,696M,696M,673M
Amortization of Intangible Assets,100M,126M,108M,112M,140M
Deferred Taxes & Investment Tax Credit,202M,-,(51M),(100M),(125M)
Deferred Taxes,202M,-,(51M),(100M),(125M)
Investment Tax Credit,-,-,-,-,-
Other Funds,1.62B,112M,1.74B,(63M),(1M)
Funds from Operations,846M,999M,943M,1.03B,1.45B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(89M),(71M),(163M),203M,(93M)
Receivables,-,-,-,-,-
Accounts Payable,53M,(147M),1.3B,363M,45M
Other Assets/Liabilities,(128M),134M,(1.47B),(166M),(51M)
Net Operating Cash Flow,757M,928M,780M,1.24B,1.35B
Net Operating Cash Flow Growth,-,22.59%,-15.95%,58.59%,9.46%
Net Operating Cash Flow / Sales,8.39%,9.21%,8.66%,13.22%,13.04%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(364M),(572M),(438M),(390M),(499M)
Capital Expenditures Growth,-,-57.14%,23.43%,10.96%,-27.95%
Capital Expenditures / Sales,-4.03%,-5.68%,-4.86%,-4.17%,-4.81%
Capital Expenditures (Fixed Assets),(364M),(572M),(438M),(390M),(499M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(77M),(188M),(32M),(886M),(1.5B)
Sale of Fixed Assets & Businesses,138M,103M,36M,24M,3M
Purchase/Sale of Investments,(51M),(38M),3M,(39M),(112M)
Purchase of Investments,(51M),(38M),(8M),(39M),(112M)
Sale/Maturity of Investments,-,-,11M,-,-
Other Uses,-,-,-,(1M),-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(321M),(677M),(427M),(1.29B),(2.08B)
Net Investing Cash Flow Growth,-,-110.90%,36.93%,-202.58%,-60.68%
Net Investing Cash Flow / Sales,-3.56%,-6.72%,-4.74%,-13.81%,-19.99%
