Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,1.95B,1.92B,1.67B,1.5B,1.82B
Net Income Growth,-,-1.33%,-13.10%,-10.47%,21.46%
"Depreciation, Depletion & Amortization",1.47B,1.57B,1.67B,1.77B,2.11B
Depreciation and Depletion,1.37B,1.47B,1.57B,1.67B,1.97B
Amortization of Intangible Assets,96M,101M,106M,107M,143M
Deferred Taxes & Investment Tax Credit,(251M),25M,100M,165M,(77M)
Deferred Taxes,(251M),25M,100M,165M,(77M)
Investment Tax Credit,-,-,-,-,-
Other Funds,212M,79M,351M,295M,362M
Funds from Operations,3.38B,3.6B,3.79B,3.73B,4.21B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(198M),(29M),80M,(327M),126M
Receivables,(271M),(16M),(53M),(179M),28M
Accounts Payable,126M,203M,243M,(37M),206M
Other Assets/Liabilities,(53M),(216M),(110M),(111M),(108M)
Net Operating Cash Flow,3.18B,3.57B,3.87B,3.4B,4.34B
Net Operating Cash Flow Growth,-,12.26%,8.52%,-12.16%,27.48%
Net Operating Cash Flow / Sales,21.95%,23.94%,25.07%,22.36%,24.19%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(1.51B),(1.69B),(1.82B),(1.63B),(1.9B)
Capital Expenditures Growth,-,-12.26%,-7.32%,10.23%,-16.67%
Capital Expenditures / Sales,-10.42%,-11.36%,-11.76%,-10.72%,-10.62%
Capital Expenditures (Fixed Assets),(1.51B),(1.69B),(1.82B),(1.63B),(1.9B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(198M),(460M),(521M),(4.09B),(75M)
Sale of Fixed Assets & Businesses,99M,208M,49M,885M,96M
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,(12M),(223M),(86M),(15M),(11M)
Other Sources,6M,-,-,-,49M
Net Investing Cash Flow,(1.62B),(2.17B),(2.38B),(4.85B),(1.89B)
Net Investing Cash Flow Growth,-,-33.89%,-9.54%,-104.00%,60.92%
Net Investing Cash Flow / Sales,-11.18%,-14.54%,-15.37%,-31.85%,-10.56%
