Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,2.37B,3.26B,2.75B,5.97B,7.13B
Net Income Growth,-,37.39%,-15.51%,116.75%,19.58%
"Depreciation, Depletion & Amortization",1.93B,2.02B,2.12B,2.05B,1.9B
Depreciation and Depletion,1.83B,1.91B,2.02B,1.93B,1.75B
Amortization of Intangible Assets,100M,109M,102M,116M,145M
Deferred Taxes & Investment Tax Credit,1.48B,(465M),(11M),(441M),(66M)
Deferred Taxes,1.48B,(465M),(11M),(441M),(66M)
Investment Tax Credit,-,-,-,-,-
Other Funds,123.2M,216M,403M,128M,36M
Funds from Operations,5.9B,5.03B,5.26B,7.7B,9B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(4.08B),(1.62B),2.22B,24M,(4.3B)
Receivables,(1.53B),(869M),2.01B,969M,(2.48B)
Accounts Payable,722.3M,46M,(7M),1.88B,1.13B
Other Assets/Liabilities,(1.03B),(185M),(186M),(343M),(999M)
Net Operating Cash Flow,1.82B,3.41B,7.48B,7.73B,4.7B
Net Operating Cash Flow Growth,-,87.44%,119.31%,3.25%,-39.18%
Net Operating Cash Flow / Sales,4.87%,8.69%,21.06%,17.61%,8.95%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(2.95B),(3.45B),(2.66B),(2.58B),(3.79B)
Capital Expenditures Growth,-,-16.91%,22.99%,2.86%,-46.82%
Capital Expenditures / Sales,-7.90%,-8.79%,-7.47%,-5.88%,-7.21%
Capital Expenditures (Fixed Assets),(2.95B),(3.45B),(2.66B),(2.58B),(3.79B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(5.25B),-,(66M),(244M),(498M)
Sale of Fixed Assets & Businesses,1.64B,1.74B,1.78B,2.09B,2.09B
Purchase/Sale of Investments,(56.2M),(51M),(37M),(85M),-
Purchase of Investments,(132.8M),(140M),(130M),(194M),-
Sale/Maturity of Investments,76.6M,89M,93M,109M,-
Other Uses,(17.13B),(18.87B),(19.99B),(23.93B),(26.94B)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(8.15B),(3.92B),(3.32B),(5.75B),(8.49B)
Net Investing Cash Flow Growth,-,51.88%,15.42%,-73.24%,-47.57%
Net Investing Cash Flow / Sales,-21.84%,-10.00%,-9.34%,-13.10%,-16.16%
