Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,10.93B,(10.25B),1.93B,361M,1.02B
Net Income Growth,-,-193.80%,118.85%,-81.32%,183.66%
"Depreciation, Depletion & Amortization",1.03B,983M,994M,969M,910M
Depreciation and Depletion,753M,693M,708M,705M,671M
Amortization of Intangible Assets,278M,290M,286M,264M,239M
Deferred Taxes & Investment Tax Credit,(6.5B),(1.97B),(293M),(343M),(1.04B)
Deferred Taxes,(6.5B),(1.97B),(293M),(343M),(1.04B)
Investment Tax Credit,-,-,-,-,-
Other Funds,(1.6B),15.88B,1.15B,3.5B,4.07B
Funds from Operations,3.87B,4.64B,3.79B,4.48B,4.96B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(3.36B),(2.06B),(233M),447M,406M
Receivables,(2.63B),(2.28B),140M,(26M),87M
Accounts Payable,441M,(23M),(58M),207M,408M
Other Assets/Liabilities,(940M),491M,(38M),532M,55M
Net Operating Cash Flow,501M,2.57B,3.55B,4.93B,5.36B
Net Operating Cash Flow Growth,-,413.77%,38.00%,38.77%,8.83%
Net Operating Cash Flow / Sales,1.92%,9.80%,14.22%,18.82%,20.60%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(1.19B),(826M),(768M),(596M),(905M)
Capital Expenditures Growth,-,30.82%,7.02%,22.40%,-51.85%
Capital Expenditures / Sales,-4.58%,-3.14%,-3.07%,-2.28%,-3.48%
Capital Expenditures (Fixed Assets),(1.19B),(826M),(768M),(596M),(905M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,(248M),(199M),-,(74M)
Sale of Fixed Assets & Businesses,-,-,1.88B,-,5.01B
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,-,-,-,-,(28M)
Other Sources,18M,-,-,-,-
Net Investing Cash Flow,1.18B,288M,1.51B,(522M),4.04B
Net Investing Cash Flow Growth,-,-75.53%,424.65%,-134.55%,873.56%
Net Investing Cash Flow / Sales,4.51%,1.10%,6.05%,-1.99%,15.51%
