Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,18.5M,269.4M,159.1M,(57.7M),525.9M
Net Income Growth,-,"1,356.22%",-40.94%,-136.27%,"1,011.44%"
"Depreciation, Depletion & Amortization",173.8M,180.4M,178.1M,412.5M,422.1M
Depreciation and Depletion,54.9M,54.6M,53.8M,77.4M,89.2M
Amortization of Intangible Assets,118.9M,125.8M,124.3M,335.1M,332.9M
Deferred Taxes & Investment Tax Credit,(249M),4M,(21.3M),(83.1M),(103.6M)
Deferred Taxes,(249M),4M,(21.3M),(83.1M),(103.6M)
Investment Tax Credit,-,-,-,-,-
Other Funds,273.8M,1.1M,31.3M,395.7M,114.9M
Funds from Operations,217.1M,454.9M,347.2M,667.4M,959.3M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(16.6M),(10.4M),(4.4M),246.9M,(343.8M)
Receivables,(65.7M),13.2M,54.7M,52.4M,(62.5M)
Accounts Payable,39.9M,69.6M,(9.2M),(43.4M),118.2M
Other Assets/Liabilities,56.7M,(41.3M),(42.5M),(36.8M),(45.1M)
Net Operating Cash Flow,200.5M,444.5M,342.8M,914.3M,615.5M
Net Operating Cash Flow Growth,-,121.70%,-22.88%,166.72%,-32.68%
Net Operating Cash Flow / Sales,8.44%,16.53%,13.98%,23.01%,11.95%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(56.8M),(52.2M),(43.2M),(42M),(64.1M)
Capital Expenditures Growth,-,8.10%,17.24%,2.78%,-52.62%
Capital Expenditures / Sales,-2.39%,-1.94%,-1.76%,-1.06%,-1.24%
Capital Expenditures (Fixed Assets),(56.8M),(52.2M),(43.2M),(42M),(64.1M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(24M),(186.3M),(12M),(14.9M),(974.8M)
Sale of Fixed Assets & Businesses,8.6M,3.5M,900K,22.6M,9.5M
Purchase/Sale of Investments,6.2M,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,6.2M,-,-,-,-
Other Uses,-,-,-,(6.6M),-
Other Sources,200K,-,-,-,-
Net Investing Cash Flow,(66M),(235M),(54.3M),(40.9M),914.3M
Net Investing Cash Flow Growth,-,-256.06%,76.89%,24.68%,"2,335.45%"
Net Investing Cash Flow / Sales,-2.78%,-8.74%,-2.21%,-1.03%,17.75%
